0,1,2,3,4,5,6,7
1,DMCC Speciality Chemicals Ltd.,1.34,1.34,1.34,1.34,Filing Due,8.27
2,Elecon Engineering Company Ltd.,1.78,1.78,1.78,1.78,Filing Due,80.48
3,Genus Power Infrastructures Ltd.,2.17,2.17,2.23,2.33,2.33,51.02
4,IG Petrochemicals Ltd.,1.06,1.09,1.09,1.09,Filing Due,15.44
5,Navin Fluorine International Ltd.,1.01,1.01,1.01,1.01,Filing Due,213.08
6,Visaka Industries Ltd.,1.38,1.36,1.16,1.07,Filing Due,7.03
7,Dollar Industries Ltd.,1.08,1.08,1.10,-,Filing Due,0
8,Emkay Global Financial Services Ltd.,1.01,-,-,-,Filing Due,0
9,Maral Overseas Ltd.,1.87,-,1.87,1.87,Filing Due,4.21
10,Precision Camshafts Ltd.,-,-,1.90,1.90,Filing Due,18.34
11,Venus Remedies Ltd.,1.31,1.31,1.31,-,Filing Due,0
12,Onmobile Global Ltd.,1.56,1.57,1.58,1.58,1.72,12.12
13,Banswara Syntex Ltd.,1.70,1.75,1.75,1.75,Filing Due,7.87
14,Mangalam Drugs And Organics Ltd.,1.26,1.90,1.90,1.90,Filing Due,3.23
15,Usha Martin Ltd.,1.25,1.25,1.25,1.26,Filing Due,86.03
16,Nahar Poly Films Ltd.,-,1.34,1.34,1.34,Filing Due,7.96
