0,1,2,3,4,5,6,7
1,Ador Fontech Ltd.,1.29,1.29,1.29,1.29,1.29,4.23
2,Amarjothi Spinning Mills Ltd.,6.76,6.77,6.77,6.77,6.77,8.12
3,Austin Engineering Company Ltd.,2.30,2.30,2.30,2.27,2.19,1.22
4,Avadh Sugar & Energy Ltd.,6.74,6.84,6.87,6.87,6.87,63.83
5,Dalmia Bharat Sugar And Industries Ltd.,12.12,6.06,6.09,-,6.09,176.00
6,DCM Nouvelle Ltd.,2.04,2.06,2.06,2.06,2.06,5.98
7,Dhampur Sugar Mills Ltd.,12.70,12.74,12.70,12.70,12.70,198.26
8,Dhunseri Tea & Industries Ltd.,2.86,2.86,2.86,-,2.99,6.15
9,Dwarikesh Sugar Industries Ltd.,6.74,6.74,6.74,6.74,6.74,113.72
10,GK Consultants Ltd.,0.56,0.56,0.56,0.56,0.56,0.02
11,GRP Ltd.,1.55,1.50,1.50,1.50,1.50,5.44
12,KG Denim Ltd.,1.91,1.91,1.91,1.91,1.91,1.34
13,KRBL Ltd.,3.97,3.97,3.97,4.00,4.11,335.61
14,Magadh Sugar & Energy Ltd.,3.58,3.58,3.55,3.55,3.55,17.15
15,Majestic Auto Ltd.,1.92,1.92,1.92,1.92,1.92,2.87
16,Nahar Spinning Mills Ltd.,6.12,6.57,6.60,6.60,6.60,63.47
17,Omaxe Ltd.,0.01,0.01,0.01,0.01,0.01,0.10
18,Panama Petrochem Ltd.,1.60,1.56,1.56,1.52,1.52,27.86
19,Precot Ltd.,3.76,3.75,3.77,3.77,1.50,3.47
20,Salasar Techno Engineering Ltd.,2.80,2.80,2.45,1.59,-,0
21,Sanghvi Movers Ltd.,1.05,1.05,1.05,1.05,1.05,15.98
22,Sarla Performance Fibers Ltd.,3.33,3.33,3.33,3.33,3.33,10.50
23,South India Paper Mills Ltd.,10.95,11.35,11.35,11.35,11.35,24.85
24,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,5.52,5.52,5.52,5.52,5.52,0.58
25,Star Paper Mills Ltd.,1.59,1.59,1.59,1.59,1.59,3.84
26,Sterling Tools Ltd.,1.39,1.39,1.39,-,-,0
27,TCPL Packaging Ltd.,9.01,10.48,10.50,10.48,10.17,132.48
28,Triveni Engineering & Industries Ltd.,2.69,2.69,2.69,2.69,3.52,213.47
29,Uttam Sugar Mills Ltd.,7.05,7.05,7.07,7.09,7.10,64.59
30,Vardhman Holdings Ltd.,5.92,6.89,6.89,6.89,6.89,57.96
31,Vardhman Special Steels Ltd.,2.22,2.22,2.22,2.22,2.22,37.34
32,Indsil Hydro Power and Manganese Ltd.,1.91,2.34,2.46,2.46,2.46,2.38
33,Samtex Fashions Ltd.,6.04,6.04,5.70,-,5.70,0.85
34,Nahar Capital And Financial Services Ltd.,2.05,2.35,2.38,2.38,2.39,10.79
35,Nahar Poly Films Ltd.,1.19,-,-,-,-,0
36,Dhampur Bio Organics Ltd.,-,-,-,12.74,12.74,
