0,1,2,3,4,5,6,7
1,AGI Greenpac Ltd.,4.79,4.79,4.79,9.58,4.79,112.46
2,Allcargo Logistics Ltd.,1.59,-,-,-,-,0
3,Arvind Fashions Ltd.,4.96,4.96,4.95,4.94,4.94,188.19
4,Birlasoft Ltd.,1.80,1.29,1.29,1.02,1.01,73.85
5,Dish TV India Ltd.,1.57,1.57,1.57,1.57,1.57,39.03
6,Glenmark Pharmaceuticals Ltd.,1.81,1.81,1.81,1.81,2.48,337.36
7,Greenlam Industries Ltd.,5.65,5.65,3.99,3.79,3.79,148.27
8,IDFC Ltd.,3.51,3.51,3.51,3.51,3.50,445.48
9,Karur Vysya Bank Ltd.,2.45,2.45,1.30,-,-,0
10,Max India Ltd.,-,-,-,-,-,0
11,Palred Technologies Ltd.,6.97,6.97,6.97,6.42,5.54,9.00
12,Quess Corp Ltd.,1.07,1.86,1.86,2.60,3.96,222.15
13,RPSG Ventures Ltd.,4.66,4.63,4.63,4.18,4.18,49.09
14,Zensar Technologies Ltd.,1.06,1.06,1.06,1.06,1.06,67.31
15,Mahindra & Mahindra Financial Services Ltd.,-,1.18,1.18,1.18,1.18,367.62
