0,1,2,3,4,5,6,7
1,Arihant Capital Markets Ltd.,29.63,32.21,32.21,32.21,32.21,133.64
2,Artemis Medicare Services Ltd.,1.17,1.15,1.21,1.05,1.06,10.02
3,Fluidomat Ltd.,22.46,22.46,22.46,22.46,22.46,23.73
4,GeeCee Ventures Ltd.,2.41,2.45,2.60,2.83,3.08,9.03
5,Indian Card Clothing Company Ltd.,2.45,2.47,2.59,1.85,2.15,2.84
6,Inter State Oil Carrier Ltd.,0.00,0.00,0.00,0.00,0.00,0
7,ISMT Ltd.,1.69,-,-,-,-,0
8,IVP Ltd.,2.26,2.26,2.27,2.14,2.10,2.67
9,Mahaveer Infoway Ltd.,13.46,18.29,18.29,18.29,18.29,0.51
10,Mayur Floorings Ltd.,0.22,0.22,0.22,0.22,0.22,0.01
11,Octal Credit Capital Ltd.,1.60,1.60,1.60,1.60,1.60,0.17
12,Pee Cee Cosma Sope Ltd.,2.95,2.95,2.95,2.95,2.95,0.80
13,Pokarna Ltd.,0.19,0.19,-,0.19,0.19,1.65
14,Prima Plastics Ltd.,1.69,1.69,1.78,1.78,1.86,2.10
15,RCC Cements Ltd.,2.16,2.16,2.16,2.16,2.16,0.14
16,Richirich Inventures Ltd.,7.28,7.28,7.28,7.28,7.28,0.14
17,RSC International Ltd.,0.04,0.04,0.04,-,0.04,0.00
18,SW Investments Ltd.,3.33,3.33,3.33,3.33,3.33,0.10
19,Vallabh Steels Ltd.,1.31,1.11,-,-,-,0
20,Worldwide Aluminium Ltd.,0.02,0.02,0.02,0.02,0.02,0.00
21,Ecoplast Ltd.,1.69,2.22,2.22,2.22,2.22,0.51
22,Shilp Gravures Ltd.,1.95,2.06,2.42,2.42,2.42,1.36
23,Freshtrop Fruits Ltd.,-,1.13,1.56,2.34,1.68,2.39
24,Rane Holdings Ltd.,-,-,1.09,1.13,1.04,13.03
25,Sharma East India Hospitals & Medical Research Ltd.,-,-,1.07,-,Filing Due,0
26,Shiva Texyarn Ltd.,-,-,-,1.10,1.21,1.89
27,Ganges Securities Ltd.,-,-,-,-,1.27,1.26
