0,1,2,3,4,5,6,7
1,Bhaskar Agrochemicals Ltd.,1.41,1.41,1.52,1.53,Filing Due,0.56
2,Hindustan Adhesives Ltd.,2.62,2.62,2.62,2.62,Filing Due,2.81
3,Jagan Lamps Ltd.,1.98,1.98,1.98,1.94,Filing Due,0.90
4,Kothari Fermentation & Biochem Ltd.,-,-,1.51,1.51,Filing Due,0.97
5,National Plastic Technologies Ltd.,3.27,3.27,3.27,3.27,Filing Due,2.06
6,Ritco Logistics Ltd.,1.61,1.61,1.61,1.61,Filing Due,6.50
7,T&I Global Ltd.,1.88,1.88,1.88,1.88,Filing Due,0.98
8,Active Clothing Co Ltd.,1.06,-,1.06,1.06,1.06,0.67
9,Barak Valley Cements Ltd.,1.37,1.66,-,1.97,Filing Due,1.12
10,DRA Consultants Ltd.,1.34,-,1.78,-,Filing Due,0
11,Link Pharma Chem Ltd.,-,-,1.73,2.30,Filing Due,0.42
12,Premier Synthetics Ltd.,-,-,2.13,2.43,Filing Due,0.21
