0,1,2,3,4,5,6,7
1,Acrow India Ltd.,1.56,-,1.56,-,Filing Due,0
2,Ajel Ltd.,1.03,1.03,-,-,Filing Due,0
3,Amrutanjan Health Care Ltd.,1.51,1.52,1.53,1.54,Filing Due,27.19
4,Continental Controls Ltd.,-,-,-,-,Filing Due,0
5,Cranex Ltd.,3.75,-,-,-,Filing Due,0
6,Cravatex Ltd.,2.59,2.59,1.01,-,Filing Due,0
7,Cubex Tubings Ltd.,1.01,1.01,-,-,Filing Due,0
8,Deco-Mica Ltd.,1.10,-,1.10,1.19,Filing Due,0.28
9,Diamines & Chemicals Ltd.,1.07,1.07,1.00,1.00,Filing Due,4.09
10,Garnet Construction Ltd.,1.15,1.15,-,-,Filing Due,0
11,Gujarat Intrux Ltd.,4.45,4.45,2.91,2.04,Filing Due,1.04
12,Inducto Steel Ltd.,3.11,1.00,1.02,-,Filing Due,0
13,Integra Engineering India Ltd.,2.19,2.19,-,-,Filing Due,0
14,Ishan Dyes & Chemicals Ltd.,1.18,1.14,1.22,1.35,Filing Due,1.62
15,Jyoti Ltd.,2.17,2.23,2.88,3.68,Filing Due,1.38
16,Kilitch Drugs (India) Ltd.,3.05,3.05,3.06,3.08,Filing Due,7.52
17,Kuwer Industries Ltd.,1.76,1.10,1.10,1.10,Filing Due,0.07
18,Lippi Systems Ltd.,2.14,2.19,2.19,2.19,Filing Due,0.21
19,Majestic Auto Ltd.,2.16,2.21,-,-,Filing Due,0
20,Multibase India Ltd.,1.12,1.12,1.15,1.19,Filing Due,2.70
21,Organic Coatings Ltd.,8.48,7.96,7.82,7.49,Filing Due,0.37
22,Rajasthan Tube Manufacturing Company Ltd.,-,-,-,-,-,0
23,Rap Media Ltd.,1.96,2.21,2.21,2.21,Filing Due,0.33
24,Revathi Equipment Ltd.,1.50,-,-,-,Filing Due,0
25,Saboo Sodium Chloro Ltd.,3.64,2.81,4.46,4.28,Filing Due,3.08
26,Solitaire Machine Tools Ltd.,-,-,-,-,Filing Due,0
27,Spenta International Ltd.,1.27,-,-,-,Filing Due,0
28,SR Industries Ltd.,-,2.54,2.54,2.54,Filing Due,0.09
29,SSPDL Ltd.,1.96,1.96,2.01,2.01,2.01,0.39
30,Sunshield Chemicals Ltd.,2.38,1.50,1.02,1.02,Filing Due,4.31
31,WEP Solutions Ltd.,4.86,4.97,4.95,5.15,Filing Due,3.63
32,Arrow Greentech Ltd.,1.24,1.24,1.24,1.16,Filing Due,4.68
33,GS Auto International Ltd.,-,-,-,-,Filing Due,0
34,Gujarat Apollo Industries Ltd.,1.40,1.41,1.58,1.70,Filing Due,3.90
35,Gujarat Themis Biosyn Ltd.,1.04,1.04,1.04,1.04,Filing Due,10.25
36,Virat Crane Industries Ltd.,1.28,1.30,1.35,1.35,Filing Due,0.82
37,Borosil Ltd.,1.02,1.03,1.03,1.04,Filing Due,44.32
38,Chandni Machines Ltd.,1.08,1.15,1.24,1.55,Filing Due,0.07
39,Jumbo Bag Ltd.,1.31,1.31,-,-,Filing Due,0
40,Duropack Ltd.,-,1.01,1.01,-,Filing Due,0
41,Indo Borax & Chemicals Ltd.,-,1.04,1.04,1.04,Filing Due,3.65
42,Milestone Global Ltd.,-,2.49,2.49,2.49,1.65,0.14
43,Hipolin Ltd.,-,-,1.28,1.28,Filing Due,0.27
44,Hittco Tools Ltd.,-,-,1.22,-,Filing Due,0
45,Tranway Technologies Ltd.,-,-,1.04,-,Filing Due,0
46,COSYN Ltd.,-,-,-,1.33,Filing Due,0.24
47,Spectrum Foods Ltd.,-,-,-,1.03,Filing Due,0.23
48,Aplab Ltd.,-,-,-,-,1.08,0.32
