0,1,2,3,4,5,6,7
1,Bannari Amman Spinning Mills Ltd.,5.99,5.99,5.99,5.99,5.99,16.08
2,Bannari Amman Sugars Ltd.,5.48,5.48,5.48,5.48,Filing Due,193.98
3,Elgi Equipments Ltd.,5.15,5.15,-,4.80,Filing Due,705.74
4,Elpro International Ltd.,1.73,1.73,1.73,1.73,Filing Due,17.72
5,Grasim Industries Ltd.,1.31,1.33,1.38,1.38,Filing Due,"1,516.56"
6,IP Rings Ltd.,1.93,1.93,-,1.93,Filing Due,2.22
7,JSW Steel Ltd.,2.08,2.10,2.10,2.10,Filing Due,"3,465.50"
8,Kartik Investments Trust Ltd.,2.54,2.54,2.54,2.54,Filing Due,0.37
9,Lakshmi Machine Works Ltd.,4.45,4.45,4.45,4.45,Filing Due,494.69
10,Rane Engine Valve Ltd.,1.22,1.22,-,1.22,Filing Due,1.87
11,TVS Srichakra Ltd.,4.40,4.40,4.40,4.40,Filing Due,90.61
12,Kirloskar Industries Ltd.,1.23,1.22,1.22,1.22,Filing Due,32.56
13,Silver Touch Technologies Ltd.,-,7.10,-,7.10,Filing Due,33.26
14,Precot Ltd.,-,2.58,-,2.58,Filing Due,5.97
15,Asahi India Glass Ltd.,-,-,3.52,3.52,Filing Due,391.34
16,Prism Johnson Ltd.,-,-,1.07,1.07,Filing Due,60.70
17,The Hi-Tech Gears Ltd.,-,-,0.82,-,Filing Due,0
