,Name,Sector,Instrument,Assets
0,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,Forgn. Eq,9.3%
1,Bunge Ltd. (US),Consumer Staples,Forgn. Eq,9.2%
2,Nutrien Ltd.,Chemicals,Forgn. Eq,8.4%
3,Deere & Company Ltd. (USA),Automobile,Forgn. Eq,7.7%
4,Ingredion INC (USA),Consumer Staples,Forgn. Eq,7.1%
5,Mosaic Company Ltd.,Chemicals,Forgn. Eq,7.1%
6,CF Industries Holdings Inc (US),Chemicals,Forgn. Eq,6.9%
7,Sociedad Quimica y Minera de Chile SA,Chemicals,Forgn. Eq,6.1%
8,Israel Chemicals (Foreign),Chemicals,Forgn. Eq,5.8%
9,Associated British Foods Ltd.,Consumer Staples,Forgn. Eq,5.4%
10,Wilmar International Ltd. (US),Consumer Staples,Forgn. Eq,4.7%
11,Tyson Foods,Consumer Staples,Forgn. Eq,4.1%
12,Kubota Corp (Foreign),Capital Goods,Forgn. Eq,3.9%
13,UPL Ltd.,Chemicals,Equity,3.1%
14,Yara International ASA (Foreign),Chemicals,Forgn. Eq,2.7%
15,BRF Brasil Foods SA,Consumer Staples,Forgn. Eq,2.0%
16,Golden Agri Resources Ltd.,Consumer Staples,Forgn. Eq,2.0%
17,Marine Harvest ASA,Consumer Staples,Forgn. Eq,1.9%
18,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.3%
19,Nippon Meat Packers,Consumer Staples,Forgn. Eq,0.9%
