,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,8.0%
1,ITC Ltd.,Consumer Staples,Equity,6.5%
2,NTPC Ltd.,Energy,Equity,3.8%
3,Lvmh Moet Hennessy Louis Vuitton Sa,Textiles,Forgn. Eq,3.8%
4,NMDC Ltd.,Metals & Mining,Equity,3.3%
5,The Federal Bank Ltd.,Financial,Equity,3.1%
6,RHI Magnesita India Ltd.,Construction,Equity,2.8%
7,Starbucks Corporation (USA),Services,Forgn. Eq,2.7%
8,L'Oreal,Consumer Staples,Forgn. Eq,2.6%
9,Bharat Petroleum Corporation Ltd.,Energy,Equity,2.6%
10,Tata Consultancy Services Ltd.,Technology,Equity,2.5%
11,Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.4%
12,Kewal Kiran Clothing Ltd.,Textiles,Equity,2.1%
13,Coal India Ltd.,Energy,Equity,2.0%
14,Larsen & Toubro Ltd.,Construction,Equity,1.9%
15,NLC India Ltd.,Energy,Equity,1.9%
16,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
17,Tamil Nadu Newsprint & Papers Ltd.,Consumer Staples,Equity,1.8%
18,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.8%
19,Dalmia Bharat Ltd.,Construction,Equity,1.7%
20,HCL Technologies Ltd.,Technology,Equity,1.7%
21,Bank Of Baroda,Financial,Equity,1.6%
22,Persistent Systems Ltd.,Technology,Equity,1.6%
23,Accenture PLC,Others,Forgn. Eq,1.6%
24,Bajaj Auto Ltd.,Automobile,Equity,1.6%
25,ICICI Securities Ltd.,Financial,Equity,1.6%
26,LTIMindtree Ltd.,Technology,Equity,1.5%
27,NMDC Steel Ltd.,Metals & Mining,Equity,1.5%
28,Akzo Nobel India Ltd.,Chemicals,Equity,1.4%
29,Bank of India,Financial,Equity,1.4%
30,Greaves Cotton Ltd.,Capital Goods,Equity,1.4%
31,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.4%
32,State Bank of India,Financial,Equity,1.3%
33,Bharat Electronics Ltd.,Capital Goods,Equity,1.3%
34,Dhanuka Agritech Ltd.,Chemicals,Equity,1.3%
35,Hero Motocorp Ltd.,Automobile,Equity,1.2%
36,Sanofi India Ltd.,Healthcare,Equity,1.2%
37,Tech Mahindra Ltd.,Technology,Equity,1.2%
38,Cyient Ltd.,Technology,Equity,1.2%
39,Avanti Feeds Ltd.,Consumer Staples,Equity,1.1%
40,National Aluminium Company Ltd.,Metals & Mining,Equity,1.1%
41,Tata Steel Ltd.,Metals & Mining,Equity,1.1%
42,Granules India Ltd.,Healthcare,Equity,1.0%
43,Bata India Ltd.,Consumer Staples,Equity,1.0%
44,Mphasis Ltd.,Technology,Equity,0.9%
45,Castrol India Ltd.,Energy,Equity,0.9%
46,Britannia Industries Ltd.,Consumer Staples,Equity,0.8%
47,Punjab National Bank,Financial,Equity,0.8%
48,CESC Ltd.,Energy,Equity,0.6%
49,Radiant Cash Management Services Ltd.,Financial,Equity,0.6%
50,Emami Ltd.,Consumer Staples,Equity,0.5%
51,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,0.4%
