,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.6%
1,Housing Development Finance Corporation Ltd.,Financial,Equity,9.4%
2,Infosys Ltd.,Technology,Equity,7.7%
3,Reliance Industries Ltd.,Energy,Equity,6.1%
4,Larsen & Toubro Ltd.,Construction,Equity,5.3%
5,Axis Bank Ltd.,Financial,Equity,5.1%
6,State Bank of India,Financial,Equity,4.3%
7,Bharti Airtel Ltd.,Communication,Equity,3.9%
8,Ultratech Cement Ltd.,Construction,Equity,3.2%
9,HCL Technologies Ltd.,Technology,Equity,3.1%
10,Mahindra & Mahindra Ltd.,Automobile,Equity,3.0%
11,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.8%
12,SBI Life Insurance Company Ltd.,Insurance,Equity,2.8%
13,Bajaj Finance Ltd.,Financial,Equity,2.4%
14,Coforge Ltd.,Technology,Equity,2.3%
15,Bata India Ltd.,Consumer Staples,Equity,2.3%
16,United Spirits Ltd.,Consumer Staples,Equity,2.2%
17,The Phoenix Mills Ltd.,Construction,Equity,2.2%
18,NTPC Ltd.,Energy,Equity,2.2%
19,Tata Motors Ltd.,Automobile,Equity,2.2%
20,Maruti Suzuki India Ltd.,Automobile,Equity,1.9%
21,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.8%
22,Bandhan Bank Ltd.,Financial,Equity,1.7%
23,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.7%
24,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
25,SBI Cards And Payment Services Ltd.,Financial,Equity,1.3%
26,Tech Mahindra Ltd.,Technology,Equity,0.8%
27,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.6%
28,Housing Development Finance Corporation Ltd.,Financial,Warrant,0.6%
29,Aditya Birla Sun Life Liquid Fund Direct-Growth,Financial,Mutual Fund,0.4%
30,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.3%
31,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.2%
