,Name,Sector,Instrument,Assets
0,Fortinet Inc,Technology,Forgn. Eq,2.6%
1,Safran SA,Services,Forgn. Eq,2.5%
2,Airbus SE,Services,Forgn. Eq,2.3%
3,Anheuser Busch Inbev SA,Consumer Staples,Forgn. Eq,2.3%
4,Sanofi SA,Healthcare,Forgn. Eq,2.3%
5,Bayer (Germany),Diversified,Forgn. Eq,2.2%
6,Yum China Holdings Inc.,Services,Forgn. Eq,2.2%
7,Zimmer Biomet Holdings,Healthcare,Forgn. Eq,2.1%
8,Experian PLC,Financial,Forgn. Eq,2.1%
9,Ambev S.A,Consumer Staples,ADS/ADR,2.1%
10,Constellation Brands Inc.,Consumer Staples,Forgn. Eq,2.0%
11,BlackRock Inc,Financial,Forgn. Eq,2.0%
12,Roper Technologies INC,Capital Goods,Forgn. Eq,2.0%
13,Westpac Banking Corp.,Financial,Forgn. Eq,2.0%
14,U.S. Bancorp,Financial,Forgn. Eq,1.9%
15,Imperial Brands Plc,Consumer Staples,Forgn. Eq,1.9%
16,Masco Corp,Construction,Forgn. Eq,1.9%
17,Polaris Industries Inc.,Services,Forgn. Eq,1.9%
18,Kao Corporation,Consumer Staples,Forgn. Eq,1.9%
19,Emerson Electric Co.,Capital Goods,Forgn. Eq,1.9%
20,State Street Corp (US),Financial,Forgn. Eq,1.9%
21,Australia & New Zealand Bank,Financial,Forgn. Eq,1.9%
22,British American Tobacco (UK),Consumer Staples,Forgn. Eq,1.8%
23,Kellogg Company,Consumer Staples,Forgn. Eq,1.8%
24,Wells Fargo,Financial,Forgn. Eq,1.6%
25,Barry Callebaut AG,Chemicals,Forgn. Eq,1.6%
26,Western Union (US),Financial,Forgn. Eq,1.5%
27,Microchip Technology Inc. (USA),Capital Goods,Forgn. Eq,1.3%
28,Novartis (Switzerland),Healthcare,Forgn. Eq,1.2%
29,Tencent Holdings Ltd.,Technology,Forgn. Eq,1.2%
30,Japan Tobacco Inc,Consumer Staples,Forgn. Eq,1.2%
31,Teradyne Inc,Capital Goods,Forgn. Eq,1.2%
32,Lam Research Corporation (USA),Capital Goods,Forgn. Eq,1.2%
33,London Stock Exchange Group PLC,Financial,Forgn. Eq,1.2%
34,Gilead Sciences Inc. (USA),Healthcare,Forgn. Eq,1.2%
35,Blackbaud Aktie,Technology,Forgn. Eq,1.1%
36,GEA Group AG (Foreign),Capital Goods,Forgn. Eq,1.1%
37,Applied Materials Inc. (USA),Capital Goods,Forgn. Eq,1.1%
38,Intercontinental Exchange,Financial,Forgn. Eq,1.1%
39,Rockwell Automation Inc,Capital Goods,Forgn. Eq,1.1%
40,Bank of New York Mellon (US),Financial,Forgn. Eq,1.1%
41,Microsoft Corportion (US),Technology,Forgn. Eq,1.1%
42,Unilever PLC,Consumer Staples,Forgn. Eq,1.1%
43,Brambles Ltd. (Australia),Services,Forgn. Eq,1.1%
44,Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,ADS/ADR,1.1%
45,Biogen Idec Inc. (USA),Healthcare,Forgn. Eq,1.0%
46,Allegion PLC,Services,Forgn. Eq,1.0%
47,ASML Holding N.V.,Capital Goods,Forgn. Eq,1.0%
48,Hong Kong Exchanges & Clearing Ltd.,Financial,Forgn. Eq,1.0%
49,Glaxosmithkline PLC,Healthcare,Forgn. Eq,1.0%
50,MercadoLibre Inc,Services,Forgn. Eq,1.0%
51,The Boeing Co,Capital Goods,Forgn. Eq,1.0%
52,Nabtesco Corporation,Capital Goods,Forgn. Eq,1.0%
53,Philip Morris International,Consumer Staples,Forgn. Eq,1.0%
54,Berkshire Hathway Inc (US),Insurance,Forgn. Eq,0.9%
55,Equifax Inc,Financial,Forgn. Eq,0.9%
56,Dominion Energy Inc,Energy,Forgn. Eq,0.9%
57,Comcast Corporation (USA),Services,Forgn. Eq,0.9%
58,Roche Holding AG Gen (UK),Financial,Forgn. Eq,0.9%
59,Medtronic,Healthcare,Forgn. Eq,0.8%
60,International Flavors & Fragrances Inc,Chemicals,Forgn. Eq,0.8%
61,Toronto Dominion Bank,Financial,Forgn. Eq,0.8%
62,3M (USA),Financial,Forgn. Eq,0.8%
63,Royal Bank Of Canada,Financial,Forgn. Eq,0.7%
64,Charles Schwab Corporation,Financial,Forgn. Eq,0.7%
65,"JD.COM, INC.",Services,Forgn. Eq,0.7%
66,Amazon. com Inc. (USA),Services,Forgn. Eq,0.6%
