,Name,Sector,Instrument,Assets
0,Honeywell Automation India Ltd.,Capital Goods,Equity,7.4%
1,Fortis Healthcare Ltd.,Healthcare,Equity,6.1%
2,ICRA Ltd.,Services,Equity,5.7%
3,Bayer CropScience Ltd.,Chemicals,Equity,5.4%
4,Schaeffler India Ltd.,Capital Goods,Equity,4.9%
5,Hindustan Unilever Ltd.,Consumer Staples,Equity,4.8%
6,Gillette India Ltd.,Consumer Staples,Equity,4.7%
7,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,4.5%
8,Maruti Suzuki India Ltd.,Automobile,Equity,4.3%
9,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,4.1%
10,Bata India Ltd.,Consumer Staples,Equity,3.8%
11,Kansai Nerolac Paints Ltd.,Chemicals,Equity,3.2%
12,Cummins India Ltd.,Capital Goods,Equity,3.2%
13,Pfizer Ltd.,Healthcare,Equity,2.9%
14,Crisil Ltd.,Services,Equity,2.8%
15,Coforge Ltd.,Technology,Equity,2.6%
16,Bosch Ltd.,Automobile,Equity,2.4%
17,Nestle India Ltd.,Consumer Staples,Equity,2.2%
18,Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,2.0%
19,United Spirits Ltd.,Consumer Staples,Equity,2.0%
20,United Breweries Ltd.,Consumer Staples,Equity,1.8%
21,Thomas Cook (India) Ltd.,Services,Equity,1.7%
22,Siemens Ltd.,Capital Goods,Equity,1.7%
23,Quess Corp Ltd.,Financial,Equity,1.5%
24,Escorts Kubota Ltd.,Automobile,Equity,1.2%
25,Mphasis Ltd.,Technology,Equity,1.2%
26,Kotak Mahindra Bank Ltd.,Financial,Equity,1.1%
27,Grindwell Norton Ltd.,Metals & Mining,Equity,1.0%
28,ABB India Ltd.,Capital Goods,Equity,1.0%
29,IDFC First Bank Ltd.,Financial,Equity,0.9%
30,3M India Ltd.,Diversified,Equity,0.8%
31,Akzo Nobel India Ltd.,Chemicals,Equity,0.7%
32,Gland Pharma Ltd.,Healthcare,Equity,0.7%
33,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.6%
34,Heidelberg Cement India Ltd.,Construction,Equity,0.6%
35,Blue Dart Express Ltd.,Services,Equity,0.6%
36,Home First Finance Company India Ltd.,Financial,Equity,0.4%
37,Sapphire Foods India Ltd.,Services,Equity,0.4%
38,Sanofi India Ltd.,Healthcare,Equity,0.3%
39,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.3%
40,Linde India Ltd.,Chemicals,Equity,0.3%
41,RHI Magnesita India Ltd.,Construction,Equity,0.3%
42,Sumitomo Chemical India Ltd.,Chemicals,Equity,0.3%
43,Hitachi Energy India Ltd.,Capital Goods,Equity,0.1%
