,Name,Sector,Instrument,Assets
0,NTPC Ltd.,Energy,Equity,10.1%
1,State Bank of India,Financial,Equity,9.3%
2,Bank Of Baroda,Financial,Equity,8.2%
3,Coal India Ltd.,Energy,Equity,8.0%
4,Power Grid Corporation Of India Ltd.,Energy,Equity,7.3%
5,Bank of India,Financial,Equity,4.5%
6,Punjab National Bank,Financial,Equity,4.4%
7,GAIL (India) Ltd.,Energy,Equity,4.3%
8,Oil & Natural Gas Corporation Ltd.,Energy,Equity,4.2%
9,Bharat Petroleum Corporation Ltd.,Energy,Equity,3.9%
10,Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.0%
11,NMDC Ltd.,Metals & Mining,Equity,2.9%
12,National Aluminium Company Ltd.,Metals & Mining,Equity,2.8%
13,SBI Life Insurance Company Ltd.,Insurance,Equity,2.5%
14,NMDC Steel Ltd.,Metals & Mining,Equity,2.3%
15,Tamil Nadu Newsprint & Papers Ltd.,Consumer Staples,Equity,1.8%
16,Gujarat State Petronet Ltd.,Energy,Equity,1.6%
17,Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
18,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.4%
19,Canara Bank,Financial,Equity,1.3%
20,NLC India Ltd.,Energy,Equity,1.3%
21,BEML Ltd.,Capital Goods,Equity,1.2%
22,Gujarat Gas Ltd.,Energy,Equity,1.1%
23,LIC Housing Finance Ltd.,Financial,Equity,1.0%
24,Rites Ltd.,Construction,Equity,1.0%
25,Mazagon Dock Shipbuilders Ltd.,Capital Goods,Equity,0.9%
26,Container Corporation Of India Ltd.,Services,Equity,0.8%
27,Life Insurance Corporation of India,Insurance,Equity,0.7%
28,SBI Cards And Payment Services Ltd.,Financial,Equity,0.5%
29,Gujarat Alkalies And Chemicals Ltd.,Chemicals,Equity,0.5%
30,MOIL Ltd.,Metals & Mining,Equity,0.4%
31,Bharat Dynamics Ltd.,Capital Goods,Equity,0.4%
32,BEML Land Assets Ltd.,Services,Equity,0.2%
