,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.1%
1,Bajaj Finance Ltd.,Financial,Equity,7.3%
2,HDFC Bank Ltd.,Financial,Equity,7.2%
3,Infosys Ltd.,Technology,Equity,6.5%
4,Avenue Supermarts Ltd.,Services,Equity,5.7%
5,Tata Consultancy Services Ltd.,Technology,Equity,3.6%
6,Kotak Mahindra Bank Ltd.,Financial,Equity,3.1%
7,Mahindra & Mahindra Ltd.,Automobile,Equity,2.9%
8,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.0%
9,Info Edge (India) Ltd.,Services,Equity,1.9%
10,Ultratech Cement Ltd.,Construction,Equity,1.8%
11,Brigade Enterprises Ltd.,Construction,Equity,1.6%
12,Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.6%
13,Titan Company Ltd.,Consumer Discretionary,Equity,1.6%
14,Housing Development Finance Corporation Ltd.,Financial,Equity,1.6%
15,SBI Life Insurance Company Ltd.,Insurance,Equity,1.6%
16,Pidilite Industries Ltd.,Chemicals,Equity,1.5%
17,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.5%
18,Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
19,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
20,Fine Organic Industries Ltd.,Chemicals,Equity,1.3%
21,PI Industries Ltd.,Chemicals,Equity,1.3%
22,Bajaj Finserv Ltd.,Financial,Equity,1.3%
23,Nestle India Ltd.,Consumer Staples,Equity,1.1%
24,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.1%
25,Trent Ltd.,Services,Equity,1.1%
26,Asian Paints Ltd.,Chemicals,Equity,1.1%
27,Bharti Airtel Ltd.,Communication,Equity,1.0%
28,Astral Ltd.,Chemicals,Equity,0.9%
29,Galaxy Surfactants Ltd.,Chemicals,Equity,0.9%
30,Hindustan Unilever Ltd.,Consumer Staples,Equity,0.9%
31,State Bank of India,Financial,Equity,0.9%
32,Tata Motors Ltd.,Automobile,Equity,0.8%
33,Clean Science And Technology Ltd.,Chemicals,Equity,0.7%
34,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.7%
35,Sansera Engineering Ltd.,Automobile,Equity,0.6%
36,LTIMindtree Ltd.,Technology,Equity,0.6%
37,Reserve Bank of India,Financial,T-Bills,0.6%
38,Fortis Healthcare Ltd.,Healthcare,Equity,0.5%
39,KFin Technologies Ltd.,Financial,Equity,0.5%
40,Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.5%
41,Neogen Chemicals Ltd.,Chemicals,Equity,0.4%
42,CCL Products (India) Ltd.,Consumer Staples,Equity,0.3%
43,Rolex Rings Ltd,Capital Goods,Equity,0.3%
44,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.3%
45,Reliance Industries Ltd.,Energy,Equity,0.3%
46,Go Fashion (India) Ltd.,Services,Equity,0.2%
47,Global Health Ltd.,Healthcare,Equity,0.2%
48,RHI Magnesita India Ltd.,Construction,Equity,0.2%
49,JK Lakshmi Cement Ltd.,Construction,Equity,0.2%
50,Carborundum Universal Ltd.,Metals & Mining,Equity,0.2%
51,Suryoday Small Finance Bank Ltd.,Financial,Equity,0.2%
52,Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,0.2%
53,Chemplast Sanmar Ltd.,Chemicals,Equity,0.1%
54,Aether Industries Ltd.,Chemicals,Equity,0.1%
