,Name,Sector,Instrument,Assets
0,Bajaj Finance Ltd.,Financial,Equity,7.5%
1,PI Industries Ltd.,Chemicals,Equity,5.5%
2,Tata Elxsi Ltd.,Technology,Equity,4.9%
3,Avenue Supermarts Ltd.,Services,Equity,4.4%
4,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,4.3%
5,Torrent Power Ltd.,Energy,Equity,4.0%
6,Astral Ltd.,Chemicals,Equity,3.7%
7,Sundaram Finance Ltd.,Financial,Equity,3.4%
8,Coforge Ltd.,Technology,Equity,3.0%
9,The Indian Hotels Company Ltd.,Services,Equity,3.0%
10,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,2.3%
11,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.2%
12,Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.2%
13,Tube Investments Of India Ltd.,Automobile,Equity,1.8%
14,Pidilite Industries Ltd.,Chemicals,Equity,1.7%
15,Divi's Laboratories Ltd.,Healthcare,Equity,1.7%
16,HDFC Bank Ltd.,Financial,Equity,1.5%
17,TTK Prestige Ltd.,Consumer Discretionary,Equity,1.5%
18,Microsoft Corportion (US),Technology,Forgn. Eq,1.4%
19,Supreme Industries Ltd.,Chemicals,Equity,1.3%
20,Clean Science And Technology Ltd.,Chemicals,Equity,1.3%
21,Persistent Systems Ltd.,Technology,Equity,1.3%
22,Alphabet Inc Class A,Services,Forgn. Eq,1.1%
23,Sumitomo Chemical India Ltd.,Chemicals,Equity,1.1%
24,ISHARES CORE S&P 500 USD UCITS ETF,Financial,Forgn.MF- Equity,0.9%
25,IShares NASDAQ 100 UCITS ETF,Financial,Forgn.MF- Equity,0.9%
26,Linde India Ltd.,Chemicals,Equity,0.9%
27,Housing Development Finance Corporation Ltd.,Financial,Equity,0.8%
28,Advanced Micro Devices Inc,Capital Goods,Forgn. Eq,0.8%
29,JP Morgan Chase & Co. (US),Financial,Forgn. Eq,0.8%
30,Visa Inc,Financial,Forgn. Eq,0.8%
31,United Health Group Inc.,Healthcare,Forgn. Eq,0.8%
32,Booking Holdings Inc,Services,Forgn. Eq,0.8%
33,Coca Cola Co. (US),Consumer Staples,Forgn. Eq,0.8%
34,Sanofi,Healthcare,Forgn. Eq,0.8%
35,AIA Engineering Ltd.,Metals & Mining,Equity,0.7%
36,Adobe Systems Inc. (USA),Technology,Forgn. Eq,0.7%
37,Schneider Elect Se,Capital Goods,Forgn. Eq,0.7%
38,Zomato Ltd.,Services,Equity,0.7%
39,Info Edge (India) Ltd.,Services,Equity,0.7%
40,Reckitt Benckiser Pl (UK),Others,Forgn. Eq,0.7%
41,Texas Instruments Inc. (US),Capital Goods,Forgn. Eq,0.7%
42,AstraZeneca PLC,Healthcare,Forgn. Eq,0.7%
43,Merck & Co Inc (US),Healthcare,Forgn. Eq,0.7%
44,Kotak Mahindra Bank Ltd.,Financial,Equity,0.7%
45,Nestle S. A (Switzerland),Consumer Staples,ADS/ADR,0.7%
46,Oracle Corporation (US),Technology,Forgn. Eq,0.7%
47,Global Health Ltd.,Healthcare,Equity,0.7%
48,Nestle India Ltd.,Consumer Staples,Equity,0.7%
49,Eli Lilly,Healthcare,Forgn. Eq,0.7%
50,Medtronic,Healthcare,Forgn. Eq,0.7%
51,NetFlix Inc. (USA),Services,Forgn. Eq,0.7%
52,Autozone Inc,Services,Forgn. Eq,0.7%
53,Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,0.7%
54,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.7%
55,AIA Group (Hongkong),Financial,Forgn. Eq,0.7%
56,Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,ADS/ADR,0.7%
57,LTIMindtree Ltd.,Technology,Equity,0.6%
58,Anthem Inc.,Healthcare,Forgn. Eq,0.6%
59,Bunzl PLC,Services,Forgn. Eq,0.6%
60,Tata Consultancy Services Ltd.,Technology,Equity,0.6%
61,Eicher Motors Ltd.,Automobile,Equity,0.5%
62,Vedant Fashions Ltd.,Services,Equity,0.5%
63,Schaeffler India Ltd.,Capital Goods,Equity,0.5%
64,Dr. Lal Pathlabs Ltd.,Healthcare,Equity,0.4%
65,TVS Motor Company Ltd.,Automobile,Equity,0.4%
66,Privi Speciality Chemicals Ltd.,Chemicals,Equity,0.3%
67,Aptus Value Housing Finance India Ltd.,Financial,Equity,0.3%
68,Endurance Technologies Ltd.,Automobile,Equity,0.3%
69,Aether Industries Ltd.,Chemicals,Equity,0.3%
70,Grindwell Norton Ltd.,Metals & Mining,Equity,0.2%
71,Yes Bank Ltd.,Financial,Equity,0.2%
72,Sundram Fasteners Ltd.,Capital Goods,Equity,0.2%
73,Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.1%
74,Axis Nifty 50 ETF - Growth,Financial,Mutual Fund,0.1%
75,Honeywell Automation India Ltd.,Capital Goods,Equity,0.1%
76,Mahindra & Mahindra Ltd.,Automobile,Equity,0.1%
