,Name,Sector,Instrument,Assets
0,Tata Motors Ltd.,Automobile,Equity,7.1%
1,ICICI Bank Ltd.,Financial,Equity,6.6%
2,Tech Mahindra Ltd.,Technology,Equity,6.5%
3,Mahindra & Mahindra Ltd.,Automobile,Equity,6.5%
4,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,4.9%
5,Gujarat State Petronet Ltd.,Energy,Equity,4.8%
6,Tata Communications Ltd.,Communication,Equity,4.3%
7,Housing Development Finance Corporation Ltd.,Financial,Equity,4.2%
8,State Bank of India,Financial,Equity,4.1%
9,Oracle Financial Services Software Ltd.,Technology,Equity,4.1%
10,Bajaj Holdings & Investment Ltd.,Financial,Equity,4.0%
11,Larsen & Toubro Ltd.,Construction,Equity,3.4%
12,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,3.2%
13,Bharat Electronics Ltd.,Capital Goods,Equity,2.9%
14,Can Fin Homes Ltd.,Financial,Equity,2.6%
15,The Federal Bank Ltd.,Financial,Equity,2.6%
16,Infosys Ltd.,Technology,Equity,2.5%
17,Coromandel International Ltd.,Chemicals,Equity,2.4%
18,Ultratech Cement Ltd.,Construction,Equity,2.4%
19,Bharti Airtel Ltd.,Communication,Equity,2.1%
20,Minda Corporation Ltd.,Automobile,Equity,2.0%
21,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.8%
22,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.4%
23,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.4%
24,Hindalco Industries Ltd.,Metals & Mining,Equity,1.3%
25,Bajaj Finserv Ltd.,Financial,Equity,1.3%
26,Suprajit Engineering Ltd.,Automobile,Equity,1.2%
27,Tata Power Company Ltd.,Energy,Equity,0.9%
28,Tata Steel Ltd.,Metals & Mining,Equity,0.8%
29,Lupin Ltd.,Healthcare,Equity,0.6%
30,Mphasis Ltd.,Technology,Equity,0.3%
31,Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.2%
