,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,7.5%
1,HDFC Bank Ltd.,Financial,Equity,7.2%
2,Infosys Ltd.,Technology,Equity,5.4%
3,Reliance Industries Ltd.,Energy,Equity,4.2%
4,Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.5%
5,Century Plyboards (India) Ltd.,Consumer Staples,Equity,3.2%
6,Trent Ltd.,Services,Equity,2.9%
7,Persistent Systems Ltd.,Technology,Equity,2.6%
8,Avanti Feeds Ltd.,Consumer Staples,Equity,2.3%
9,Vardhman Textiles Ltd.,Textiles,Equity,2.3%
10,Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
11,HCL Technologies Ltd.,Technology,Equity,2.0%
12,Bajaj Finance Ltd.,Financial,Equity,2.0%
13,V-Mart Retail Ltd.,Services,Equity,2.0%
14,DCM Shriram Ltd.,Diversified,Equity,2.0%
15,Gujarat Gas Ltd.,Energy,Equity,1.9%
16,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
17,City Union Bank Ltd.,Financial,Equity,1.7%
18,Bharti Airtel Ltd.,Communication,Equity,1.7%
19,Tata Consultancy Services Ltd.,Technology,Equity,1.7%
20,Mphasis Ltd.,Technology,Equity,1.6%
21,Orient Electric Ltd.,Consumer Discretionary,Equity,1.6%
22,Sundram Fasteners Ltd.,Capital Goods,Equity,1.5%
23,Tata Motors Ltd.,Automobile,Equity,1.5%
24,Hitachi Energy India Ltd.,Capital Goods,Equity,1.5%
25,Dalmia Bharat Ltd.,Construction,Equity,1.4%
26,Gujarat State Petronet Ltd.,Energy,Equity,1.3%
27,Ashok Leyland Ltd.,Automobile,Equity,1.3%
28,Sheela Foam Ltd.,Consumer Discretionary,Equity,1.2%
29,NOCIL Ltd.,Chemicals,Equity,1.2%
30,Brigade Enterprises Ltd.,Construction,Equity,1.2%
31,Shoppers Stop Ltd.,Services,Equity,1.1%
32,Ultratech Cement Ltd.,Construction,Equity,1.1%
33,Procter & Gamble Hygiene & Health Care Ltd.,Consumer Staples,Equity,1.1%
34,Blue Star Ltd.,Consumer Discretionary,Equity,1.1%
35,State Bank of India,Financial,Equity,1.1%
36,Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
37,Ajanta Pharma Ltd.,Healthcare,Equity,1.1%
38,Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
39,Avenue Supermarts Ltd.,Services,Equity,1.0%
40,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.0%
41,Max Financial Services Ltd.,Financial,Equity,1.0%
42,Alkem Laboratories Ltd.,Healthcare,Equity,0.9%
43,Sanofi India Ltd.,Healthcare,Equity,0.9%
44,Lupin Ltd.,Healthcare,Equity,0.9%
45,AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
46,Indraprastha Gas Ltd.,Energy,Equity,0.8%
47,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.8%
48,INOX Leisure Ltd.,Services,Equity,0.6%
49,IOL Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.6%
50,PVR Ltd.,Services,Equity,0.6%
51,MRF Ltd.,Automobile,Equity,0.6%
52,Nazara Technologies Ltd.,Technology,Equity,0.4%
