,Name,Sector,Instrument,Assets
0,Radico Khaitan Ltd.,Consumer Staples,Equity,3.5%
1,Carborundum Universal Ltd.,Metals & Mining,Equity,3.1%
2,Metro Brands Ltd.,Consumer Staples,Equity,2.7%
3,Automotive Axles Ltd.,Automobile,Equity,2.7%
4,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.5%
5,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.5%
6,Westlife Foodworld Ltd.,Services,Equity,2.5%
7,NOCIL Ltd.,Chemicals,Equity,2.2%
8,Zensar Technologies Ltd.,Technology,Equity,2.2%
9,NTPC Ltd.,Energy,Equity,2.2%
10,Kajaria Ceramics Ltd.,Construction,Equity,2.1%
11,JK Lakshmi Cement Ltd.,Construction,Equity,2.1%
12,Shaily Engineering Plastics Ltd.,Chemicals,Equity,2.1%
13,Cyient Ltd.,Technology,Equity,2.0%
14,Axis Bank Ltd.,Financial,Equity,1.9%
15,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.8%
16,Data Patterns (India) Ltd.,Capital Goods,Equity,1.8%
17,Cera Sanitaryware Ltd.,Construction,Equity,1.8%
18,VRL Logistics Ltd.,Services,Equity,1.7%
19,eClerx Services Ltd.,Services,Equity,1.6%
20,Wheels India Ltd.,Automobile,Equity,1.6%
21,Mayur Uniquoters Ltd.,Textiles,Equity,1.6%
22,V-Mart Retail Ltd.,Services,Equity,1.6%
23,Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.5%
24,Can Fin Homes Ltd.,Financial,Equity,1.5%
25,EIH Ltd.,Services,Equity,1.5%
26,Jamna Auto Industries Ltd.,Automobile,Equity,1.4%
27,Birlasoft Ltd.,Technology,Equity,1.4%
28,Sagar Cements Ltd.,Construction,Equity,1.4%
29,Alicon Castalloy Ltd.,Metals & Mining,Equity,1.4%
30,Mas Financial Services Ltd.,Financial,Equity,1.4%
31,GNA Axles Ltd.,Automobile,Equity,1.3%
32,Interglobe Aviation Ltd.,Services,Equity,1.2%
33,Godfrey Phillips India Ltd.,Consumer Staples,Equity,1.2%
34,UTI Asset Management Company Ltd.,Financial,Equity,1.2%
35,Syrma SGS Technology Ltd.,Capital Goods,Equity,1.2%
36,Vedant Fashions Ltd.,Services,Equity,1.1%
37,Avanti Feeds Ltd.,Consumer Staples,Equity,1.1%
38,FDC Ltd.,Healthcare,Equity,1.1%
39,Gulf Oil Lubricants India Ltd.,Energy,Equity,1.1%
40,Poonawalla Fincorp Ltd.,Financial,Equity,1.1%
41,Greenply Industries Ltd.,Consumer Staples,Equity,1.1%
42,AIA Engineering Ltd.,Metals & Mining,Equity,1.0%
43,Gland Pharma Ltd.,Healthcare,Equity,1.0%
44,Mahindra Lifespace Developers Ltd.,Construction,Equity,1.0%
45,Angel One Ltd.,Financial,Equity,1.0%
46,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.0%
47,DCM Shriram Ltd.,Diversified,Equity,1.0%
48,Kirloskar Brothers Ltd.,Capital Goods,Equity,0.9%
49,Keystone Realtors Ltd,Construction,Equity,0.9%
50,Taj GVK Hotels & Resorts Ltd.,Services,Equity,0.9%
51,Indian Bank,Financial,Equity,0.9%
52,Gujarat State Petronet Ltd.,Energy,Equity,0.9%
53,Chemplast Sanmar Ltd.,Chemicals,Equity,0.9%
54,Graphite India Ltd.,Construction,Equity,0.8%
55,Heritage Foods Ltd.,Consumer Staples,Equity,0.8%
56,Heranba Industries Ltd.,Chemicals,Equity,0.8%
57,Nitin Spinners Ltd.,Textiles,Equity,0.8%
58,Jubilant FoodWorks Ltd.,Services,Equity,0.7%
59,Vardhman Textiles Ltd.,Textiles,Equity,0.7%
60,Finolex Industries Ltd.,Chemicals,Equity,0.6%
61,Emami Ltd.,Consumer Staples,Equity,0.5%
62,Krsnaa Diagnostics Ltd.,Healthcare,Equity,0.5%
