,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.9%
1,ICICI Bank Ltd.,Financial,Equity,7.2%
2,Reliance Industries Ltd.,Energy,Equity,6.4%
3,Infosys Ltd.,Technology,Equity,6.3%
4,Axis Bank Ltd.,Financial,Equity,5.5%
5,Indusind Bank Ltd.,Financial,Equity,5.0%
6,Anupam Rasayan India Ltd.,Chemicals,Equity,4.6%
7,ITC Ltd.,Consumer Staples,Equity,4.4%
8,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.5%
9,Rossari Biotech Ltd.,Chemicals,Equity,3.0%
10,LTIMindtree Ltd.,Technology,Equity,3.0%
11,L&T Technology Services Ltd.,Technology,Equity,2.8%
12,Prataap Snacks Ltd.,Consumer Staples,Equity,2.7%
13,Interglobe Aviation Ltd.,Services,Equity,2.6%
14,Ultratech Cement Ltd.,Construction,Equity,2.5%
15,Trent Ltd.,Services,Equity,2.4%
16,Larsen & Toubro Ltd.,Construction,Equity,2.3%
17,The Phoenix Mills Ltd.,Construction,Equity,2.2%
18,NTPC Ltd.,Energy,Equity,2.1%
19,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.1%
20,The Indian Hotels Company Ltd.,Services,Equity,2.0%
21,Tata Steel Ltd.,Metals & Mining,Equity,2.0%
22,Titan Company Ltd.,Consumer Discretionary,Equity,1.9%
23,Mahindra & Mahindra Ltd.,Automobile,Equity,1.9%
24,Bharti Airtel Ltd.,Communication,Equity,1.9%
25,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
26,TVS Motor Company Ltd.,Automobile,Equity,1.9%
27,ABB India Ltd.,Capital Goods,Equity,1.9%
28,Bharat Forge Ltd.,Automobile,Equity,1.9%
29,Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
