,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,4.6%
1,Tata Chemicals Ltd.,Chemicals,Equity,3.6%
2,TVS Motor Company Ltd.,Automobile,Equity,3.6%
3,Cummins India Ltd.,Capital Goods,Equity,3.5%
4,Persistent Systems Ltd.,Technology,Equity,3.3%
5,The Federal Bank Ltd.,Financial,Equity,3.2%
6,Axis Bank Ltd.,Financial,Equity,2.9%
7,Trent Ltd.,Services,Equity,2.9%
8,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,2.7%
9,Schaeffler India Ltd.,Capital Goods,Equity,2.6%
10,UNO Minda Ltd.,Automobile,Equity,2.6%
11,The Indian Hotels Company Ltd.,Services,Equity,2.5%
12,APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.3%
13,Tata Communications Ltd.,Communication,Equity,2.3%
14,Navin Fluorine International Ltd.,Chemicals,Equity,2.3%
15,United Breweries Ltd.,Consumer Staples,Equity,2.2%
16,Abbott India Ltd.,Healthcare,Equity,2.2%
17,Infosys Ltd.,Technology,Equity,2.1%
18,Astral Ltd.,Chemicals,Equity,2.1%
19,Kajaria Ceramics Ltd.,Construction,Equity,2.1%
20,Vinati Organics Ltd.,Chemicals,Equity,2.0%
21,Mahindra & Mahindra Ltd.,Automobile,Equity,2.0%
22,Sundram Fasteners Ltd.,Capital Goods,Equity,1.9%
23,Coromandel International Ltd.,Chemicals,Equity,1.8%
24,Metro Brands Ltd.,Consumer Staples,Equity,1.8%
25,Thermax Ltd.,Capital Goods,Equity,1.7%
26,Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.6%
27,Timken India Ltd.,Capital Goods,Equity,1.6%
28,Atul Ltd.,Chemicals,Equity,1.6%
29,Data Patterns (India) Ltd.,Capital Goods,Equity,1.4%
30,K.P.R. Mill Ltd.,Textiles,Equity,1.3%
31,Jubilant FoodWorks Ltd.,Services,Equity,1.3%
32,Bosch Ltd.,Automobile,Equity,1.2%
33,3M India Ltd.,Diversified,Equity,1.1%
34,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.1%
35,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.1%
36,Carborundum Universal Ltd.,Metals & Mining,Equity,1.1%
37,Supreme Industries Ltd.,Chemicals,Equity,1.1%
38,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.0%
39,Bharat Forge Ltd.,Automobile,Equity,1.0%
40,Craftsman Automation Ltd.,Automobile,Equity,0.9%
41,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.9%
42,Ipca Laboratories Ltd.,Healthcare,Equity,0.9%
43,ICICI Securities Ltd.,Financial,Equity,0.9%
44,Westlife Foodworld Ltd.,Services,Equity,0.8%
45,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.8%
46,Fine Organic Industries Ltd.,Chemicals,Equity,0.7%
47,Mphasis Ltd.,Technology,Equity,0.7%
48,KPIT Technologies Ltd.,Technology,Equity,0.5%
49,Voltas Ltd.,Consumer Discretionary,Equity,0.5%
50,Safari Industries (India) Ltd.,Chemicals,Equity,0.5%
51,Syrma SGS Technology Ltd.,Capital Goods,Equity,0.2%
52,Tube Investments Of India Ltd.,Automobile,Equity,0.2%
53,Varun Beverages Ltd.,Consumer Staples,Equity,0.1%
