,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,6.5%
1,HDFC Bank Ltd.,Financial,Equity,6.3%
2,State Bank of India,Financial,Equity,6.0%
3,Nippon India ETF Nifty PSU Bank BeES,Financial,Mutual Fund,4.8%
4,NTPC Ltd.,Energy,Equity,3.5%
5,Axis Bank Ltd.,Financial,Equity,3.1%
6,Reliance Industries Ltd.,Energy,Equity,3.0%
7,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.9%
8,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.6%
9,Siemens Ltd.,Capital Goods,Equity,2.5%
10,Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.4%
11,Bank Of Baroda,Financial,Equity,2.3%
12,Sumitomo Chemical India Ltd.,Chemicals,Equity,2.2%
13,Lemon Tree Hotels Ltd.,Services,Equity,2.0%
14,Coal India Ltd.,Energy,Equity,2.0%
15,Union Bank of India,Financial,Equity,2.0%
16,Ultratech Cement Ltd.,Construction,Equity,1.9%
17,Tata Consultancy Services Ltd.,Technology,Equity,1.9%
18,Tata Steel Ltd.,Metals & Mining,Equity,1.9%
19,AU Small Finance Bank Ltd.,Financial,Equity,1.8%
20,Larsen & Toubro Ltd.,Construction,Equity,1.8%
21,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.7%
22,Coromandel International Ltd.,Chemicals,Equity,1.6%
23,SKF India Ltd.,Capital Goods,Equity,1.6%
24,UNO Minda Ltd.,Automobile,Equity,1.6%
25,ABB India Ltd.,Capital Goods,Equity,1.5%
26,Jamna Auto Industries Ltd.,Automobile,Equity,1.5%
27,Abbott India Ltd.,Healthcare,Equity,1.5%
28,K.P.R. Mill Ltd.,Textiles,Equity,1.4%
29,Apollo Tyres Ltd.,Automobile,Equity,1.4%
30,Power Grid Corporation Of India Ltd.,Energy,Equity,1.3%
31,Oil India Ltd.,Energy,Equity,1.2%
32,E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,1.2%
33,Brigade Enterprises Ltd.,Construction,Equity,1.1%
34,Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.1%
35,Rail Vikas Nigam Ltd.,Construction,Equity,1.0%
36,Power Finance Corporation Ltd.,Financial,Equity,0.9%
37,Astral Ltd.,Chemicals,Equity,0.9%
38,JSW Steel Ltd.,Metals & Mining,Equity,0.9%
39,PI Industries Ltd.,Chemicals,Equity,0.9%
40,Hindustan Unilever Ltd.,Consumer Staples,Equity,0.9%
41,Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
42,TVS Motor Company Ltd.,Automobile,Equity,0.8%
43,Torrent Power Ltd.,Energy,Equity,0.8%
44,Indian Energy Exchange Ltd.,Services,Equity,0.8%
45,Max Healthcare Institute Ltd.,Healthcare,Equity,0.8%
46,Cipla Ltd.,Healthcare,Equity,0.8%
47,Sobha Ltd.,Construction,Equity,0.7%
48,Tata Motors Ltd.,Automobile,Equity,0.7%
49,SBI Life Insurance Company Ltd.,Insurance,Equity,0.7%
50,Rolex Rings Ltd,Capital Goods,Equity,0.6%
51,Infosys Ltd.,Technology,Equity,0.6%
52,Hindustan Copper Ltd.,Metals & Mining,Equity,0.5%
53,Trent Ltd.,Services,Equity,0.5%
54,Harsha Engineers International Ltd.,Capital Goods,Equity,0.3%
55,Rajratan Global Wire Ltd.,Metals & Mining,Equity,0.3%
56,Vedanta Ltd.,Metals & Mining,Equity,0.2%
