,Name,Sector,Instrument,Assets
0,CCL Products (India) Ltd.,Consumer Staples,Equity,2.9%
1,ICICI Bank Ltd.,Financial,Equity,2.5%
2,JK Lakshmi Cement Ltd.,Construction,Equity,2.4%
3,Jamna Auto Industries Ltd.,Automobile,Equity,2.4%
4,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.3%
5,Praj Industries Ltd.,Capital Goods,Equity,2.3%
6,Kei Industries Ltd.,Capital Goods,Equity,2.1%
7,City Union Bank Ltd.,Financial,Equity,2.1%
8,Timken India Ltd.,Capital Goods,Equity,2.0%
9,Kaynes Technology India Ltd.,Capital Goods,Equity,2.0%
10,Home First Finance Company India Ltd.,Financial,Equity,1.9%
11,Larsen & Toubro Ltd.,Construction,Equity,1.9%
12,Rolex Rings Ltd,Capital Goods,Equity,1.9%
13,The Phoenix Mills Ltd.,Construction,Equity,1.9%
14,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
15,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
16,Apollo Pipes Ltd.,Chemicals,Equity,1.8%
17,RateGain Travel Technologies Ltd.,Technology,Equity,1.8%
18,Shanthi Gears Ltd.,Automobile,Equity,1.8%
19,VIP Industries Ltd.,Chemicals,Equity,1.8%
20,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.7%
21,The Federal Bank Ltd.,Financial,Equity,1.7%
22,Carborundum Universal Ltd.,Metals & Mining,Equity,1.7%
23,Blue Star Ltd.,Consumer Discretionary,Equity,1.6%
24,Canara Bank,Financial,Equity,1.6%
25,Apollo Tyres Ltd.,Automobile,Equity,1.6%
26,Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,1.5%
27,KSB Ltd.,Capital Goods,Equity,1.5%
28,CreditAccess Grameen Ltd.,Financial,Equity,1.5%
29,Westlife Foodworld Ltd.,Services,Equity,1.5%
30,Lemon Tree Hotels Ltd.,Services,Equity,1.5%
31,SKF India Ltd.,Capital Goods,Equity,1.4%
32,Cera Sanitaryware Ltd.,Construction,Equity,1.4%
33,Brigade Enterprises Ltd.,Construction,Equity,1.4%
34,TD Power Systems Ltd.,Capital Goods,Equity,1.3%
35,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.3%
36,Tube Investments Of India Ltd.,Automobile,Equity,1.3%
37,Vedant Fashions Ltd.,Services,Equity,1.3%
38,Persistent Systems Ltd.,Technology,Equity,1.3%
39,La Opala RG Ltd.,Construction,Equity,1.3%
40,Linde India Ltd.,Chemicals,Equity,1.3%
41,Procter & Gamble Health Ltd.,Healthcare,Equity,1.2%
42,Metro Brands Ltd.,Consumer Staples,Equity,1.2%
43,KNR Constructions Ltd.,Construction,Equity,1.2%
44,Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
45,JTEKT India Ltd.,Automobile,Equity,1.2%
46,E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,1.1%
47,AU Small Finance Bank Ltd.,Financial,Equity,1.1%
48,Hitachi Energy India Ltd.,Capital Goods,Equity,1.1%
49,Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.1%
50,Tata Consultancy Services Ltd.,Technology,Equity,1.1%
51,Solar Industries India Ltd.,Chemicals,Equity,1.1%
52,Go Fashion (India) Ltd.,Services,Equity,1.1%
53,Mold-Tek Packaging Ltd.,Chemicals,Equity,1.1%
54,Astec Lifesciences Ltd.,Chemicals,Equity,1.0%
55,Ambuja Cements Ltd.,Construction,Equity,0.9%
56,Mahindra Lifespace Developers Ltd.,Construction,Equity,0.9%
57,Neogen Chemicals Ltd.,Chemicals,Equity,0.9%
58,Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.8%
59,Fine Organic Industries Ltd.,Chemicals,Equity,0.8%
60,Rajratan Global Wire Ltd.,Metals & Mining,Equity,0.8%
61,Harsha Engineers International Ltd.,Capital Goods,Equity,0.8%
62,Galaxy Surfactants Ltd.,Chemicals,Equity,0.7%
