,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,7.3%
1,Housing Development Finance Corporation Ltd.,Financial,Equity,7.3%
2,Tata Consultancy Services Ltd.,Technology,Equity,5.3%
3,Larsen & Toubro Ltd.,Construction,Equity,5.1%
4,Infosys Ltd.,Technology,Equity,4.5%
5,ICICI Bank Ltd.,Financial,Equity,4.3%
6,ITC Ltd.,Consumer Staples,Equity,4.0%
7,HDFC Bank Ltd.,Financial,Equity,3.7%
8,State Bank of India,Financial,Equity,3.5%
9,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.1%
10,Dalmia Bharat Ltd.,Construction,Equity,2.9%
11,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.7%
12,Trent Ltd.,Services,Equity,2.6%
13,NHPC Ltd.,Energy,Equity,2.5%
14,Nestle India Ltd.,Consumer Staples,Equity,2.1%
15,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.0%
16,Bharat Electronics Ltd.,Capital Goods,Equity,2.0%
17,Kotak Mahindra Bank Ltd.,Financial,Equity,1.8%
18,Radico Khaitan Ltd.,Consumer Staples,Equity,1.7%
19,Mahindra & Mahindra Ltd.,Automobile,Equity,1.6%
20,Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
21,Bharti Airtel Ltd.,Communication,Equity,1.6%
22,Canara Bank,Financial,Equity,1.5%
23,Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
24,Varun Beverages Ltd.,Consumer Staples,Equity,1.4%
25,Petronet LNG Ltd.,Energy,Equity,1.4%
26,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.2%
27,NMDC Ltd.,Metals & Mining,Equity,1.2%
28,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.1%
29,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
30,Coal India Ltd.,Energy,Equity,1.1%
31,Shree Cement Ltd.,Construction,Equity,1.1%
32,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.1%
33,Siemens Ltd.,Capital Goods,Equity,1.0%
34,Ultratech Cement Ltd.,Construction,Equity,1.0%
35,RBL Bank Ltd.,Financial,Equity,1.0%
36,Zydus Lifesciences Ltd.,Healthcare,Equity,1.0%
37,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.0%
38,Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
39,Reserve Bank of India,Financial,T-Bills,0.8%
40,V-Mart Retail Ltd.,Services,Equity,0.8%
