,Name,Sector,Instrument,Assets
0,ITC Ltd.,Consumer Staples,Equity,10.8%
1,Hindustan Unilever Ltd.,Consumer Staples,Equity,8.7%
2,Bharti Airtel Ltd.,Communication,Equity,7.2%
3,Nestle India Ltd.,Consumer Staples,Equity,5.5%
4,Titan Company Ltd.,Consumer Discretionary,Equity,4.5%
5,Maruti Suzuki India Ltd.,Automobile,Equity,4.5%
6,Trent Ltd.,Services,Equity,4.1%
7,Mahindra & Mahindra Ltd.,Automobile,Equity,3.9%
8,Godrej Consumer Products Ltd.,Consumer Staples,Equity,3.8%
9,Asian Paints Ltd.,Chemicals,Equity,3.4%
10,TVS Motor Company Ltd.,Automobile,Equity,3.3%
11,Housing Development Finance Corporation Ltd.,Financial,Equity,2.6%
12,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,1.9%
13,Britannia Industries Ltd.,Consumer Staples,Equity,1.9%
14,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.8%
15,Dabur India Ltd.,Consumer Staples,Equity,1.5%
16,ICICI Bank Ltd.,Financial,Equity,1.5%
17,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.5%
18,Blue Star Ltd.,Consumer Discretionary,Equity,1.4%
19,HDFC Asset Management Company Ltd.,Financial,Equity,1.4%
20,Marico Ltd.,Consumer Staples,Equity,1.4%
21,Eicher Motors Ltd.,Automobile,Equity,1.3%
22,Shoppers Stop Ltd.,Services,Equity,1.3%
23,HDFC Life Insurance Co Ltd.,Insurance,Equity,1.3%
24,PVR Ltd.,Services,Equity,1.2%
25,TTK Prestige Ltd.,Consumer Discretionary,Equity,1.2%
26,The Indian Hotels Company Ltd.,Services,Equity,1.1%
27,Zomato Ltd.,Services,Equity,1.1%
28,Westlife Foodworld Ltd.,Services,Equity,1.0%
29,United Breweries Ltd.,Consumer Staples,Equity,1.0%
30,Jubilant FoodWorks Ltd.,Services,Equity,1.0%
31,United Spirits Ltd.,Consumer Staples,Equity,1.0%
32,Kajaria Ceramics Ltd.,Construction,Equity,1.0%
33,Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.0%
34,Reserve Bank of India,Financial,T-Bills,1.0%
35,Bajaj Finance Ltd.,Financial,Equity,0.9%
36,Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
37,V-Mart Retail Ltd.,Services,Equity,0.7%
