,Name,Sector,Instrument,Assets
0,Persistent Systems Ltd.,Technology,Equity,4.1%
1,Fortis Healthcare Ltd.,Healthcare,Equity,4.0%
2,Minda Industries Ltd.,Automobile,Equity,4.0%
3,Natco Pharma Ltd.,Healthcare,Equity,3.8%
4,Zee Entertainment Enterprises Ltd.,Services,Equity,3.7%
5,Ipca Laboratories Ltd.,Healthcare,Equity,3.7%
6,Radico Khaitan Ltd.,Consumer Staples,Equity,3.7%
7,Cummins India Ltd.,Capital Goods,Equity,3.4%
8,Mphasis Ltd.,Technology,Equity,3.4%
9,Timken India Ltd.,Capital Goods,Equity,3.3%
10,Hindustan Petroleum Corporation Ltd.,Energy,Equity,3.3%
11,NHPC Ltd.,Energy,Equity,3.3%
12,Aditya Birla Fashion and Retail Ltd.,Services,Equity,3.1%
13,Aarti Industries Ltd.,Chemicals,Equity,3.0%
14,Coforge Ltd.,Technology,Equity,3.0%
15,Ashok Leyland Ltd.,Automobile,Equity,2.9%
16,Torrent Power Ltd.,Energy,Equity,2.6%
17,Navin Fluorine International Ltd.,Chemicals,Equity,2.5%
18,KPIT Technologies Ltd.,Technology,Equity,2.5%
19,Sudarshan Chemical Industries Ltd.,Chemicals,Equity,2.3%
20,Bank Of Baroda,Financial,Equity,2.3%
21,Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.3%
22,Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.2%
23,Brigade Enterprises Ltd.,Construction,Equity,2.0%
24,Atul Ltd.,Chemicals,Equity,2.0%
25,Trent Ltd.,Services,Equity,1.8%
26,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
27,Kei Industries Ltd.,Capital Goods,Equity,1.7%
28,Dalmia Bharat Ltd.,Construction,Equity,1.7%
29,Indoco Remedies Ltd.,Healthcare,Equity,1.7%
30,The Federal Bank Ltd.,Financial,Equity,1.6%
31,Indian Energy Exchange Ltd.,Services,Equity,1.4%
32,Can Fin Homes Ltd.,Financial,Equity,1.4%
33,Coromandel International Ltd.,Chemicals,Equity,1.4%
34,Nazara Technologies Ltd.,Technology,Equity,1.3%
35,Medplus Health Services Ltd.,Healthcare,Equity,1.2%
36,Varun Beverages Ltd.,Consumer Staples,Equity,1.2%
37,Sterlite Technologies Ltd.,Communication,Equity,1.1%
38,PNC Infratech Ltd.,Construction,Equity,1.1%
39,AU Small Finance Bank Ltd.,Financial,Equity,1.0%
40,Hatsun Agro Products Ltd.,Consumer Staples,Equity,0.1%
