,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,7.0%
1,ICICI Bank Ltd.,Financial,Equity,6.7%
2,Infosys Ltd.,Technology,Equity,4.5%
3,Reliance Industries Ltd.,Energy,Equity,3.9%
4,State Bank of India,Financial,Equity,3.5%
5,Axis Bank Ltd.,Financial,Equity,2.9%
6,Max Healthcare Institute Ltd.,Healthcare,Equity,2.8%
7,Ultratech Cement Ltd.,Construction,Equity,2.7%
8,UNO Minda Ltd.,Automobile,Equity,2.6%
9,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.5%
10,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.4%
11,Bharat Electronics Ltd.,Capital Goods,Equity,2.4%
12,The Indian Hotels Company Ltd.,Services,Equity,2.3%
13,Bharti Airtel Ltd.,Communication,Equity,2.2%
14,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
15,Bajaj Finance Ltd.,Financial,Equity,1.8%
16,Larsen & Toubro Ltd.,Construction,Equity,1.8%
17,Ashok Leyland Ltd.,Automobile,Equity,1.6%
18,Polycab India Ltd.,Capital Goods,Equity,1.6%
19,Atul Ltd.,Chemicals,Equity,1.5%
20,AIA Engineering Ltd.,Metals & Mining,Equity,1.5%
21,Trent Ltd.,Services,Equity,1.5%
22,Navin Fluorine International Ltd.,Chemicals,Equity,1.5%
23,Tata Consultancy Services Ltd.,Technology,Equity,1.4%
24,Abbott India Ltd.,Healthcare,Equity,1.4%
25,PI Industries Ltd.,Chemicals,Equity,1.4%
26,ABB India Ltd.,Capital Goods,Equity,1.4%
27,TVS Motor Company Ltd.,Automobile,Equity,1.4%
28,Gujarat Gas Ltd.,Energy,Equity,1.3%
29,Max Financial Services Ltd.,Financial,Equity,1.3%
30,Oberoi Realty Ltd.,Construction,Equity,1.3%
31,Mphasis Ltd.,Technology,Equity,1.3%
32,Vinati Organics Ltd.,Chemicals,Equity,1.2%
33,Titan Company Ltd.,Consumer Discretionary,Equity,1.2%
34,Maruti Suzuki India Ltd.,Automobile,Equity,1.2%
35,Bharat Forge Ltd.,Automobile,Equity,1.1%
36,Blue Dart Express Ltd.,Services,Equity,1.1%
37,The Federal Bank Ltd.,Financial,Equity,1.0%
38,Schaeffler India Ltd.,Capital Goods,Equity,1.0%
39,Kotak Mahindra Bank Ltd.,Financial,Equity,1.0%
40,City Union Bank Ltd.,Financial,Equity,1.0%
41,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
42,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.9%
43,Page Industries Ltd.,Textiles,Equity,0.9%
44,Avenue Supermarts Ltd.,Services,Equity,0.9%
45,Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.8%
46,Sundram Fasteners Ltd.,Capital Goods,Equity,0.7%
47,Ipca Laboratories Ltd.,Healthcare,Equity,0.7%
48,TCI Express Ltd.,Services,Equity,0.7%
49,Honeywell Automation India Ltd.,Capital Goods,Equity,0.7%
50,Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.6%
51,Voltas Ltd.,Consumer Discretionary,Equity,0.6%
52,Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.6%
53,Gland Pharma Ltd.,Healthcare,Equity,0.5%
54,The Ramco Cements Ltd.,Construction,Equity,0.4%
55,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.3%
56,Jubilant FoodWorks Ltd.,Services,Equity,0.3%
