,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.4%
1,ICICI Bank Ltd.,Financial,Equity,7.9%
2,Infosys Ltd.,Technology,Equity,6.1%
3,Reliance Industries Ltd.,Energy,Equity,4.7%
4,State Bank of India,Financial,Equity,3.6%
5,Axis Bank Ltd.,Financial,Equity,3.3%
6,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.2%
7,Larsen & Toubro Ltd.,Construction,Equity,3.0%
8,Bharti Airtel Ltd.,Communication,Equity,2.8%
9,Tata Consultancy Services Ltd.,Technology,Equity,2.5%
10,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.3%
11,Ultratech Cement Ltd.,Construction,Equity,2.3%
12,Bajaj Finance Ltd.,Financial,Equity,2.2%
13,ITC Ltd.,Consumer Staples,Equity,2.1%
14,Kotak Mahindra Bank Ltd.,Financial,Equity,1.7%
15,Max Healthcare Institute Ltd.,Healthcare,Equity,1.6%
16,UNO Minda Ltd.,Automobile,Equity,1.6%
17,Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
18,NTPC Ltd.,Energy,Equity,1.5%
19,Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
20,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
21,Titan Company Ltd.,Consumer Discretionary,Equity,1.4%
22,The Indian Hotels Company Ltd.,Services,Equity,1.3%
23,ABB India Ltd.,Capital Goods,Equity,1.2%
24,JK Cement Ltd.,Construction,Equity,1.2%
25,Mahindra & Mahindra Ltd.,Automobile,Equity,1.2%
26,Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
27,Atul Ltd.,Chemicals,Equity,1.1%
28,Abbott India Ltd.,Healthcare,Equity,1.1%
29,Tata Motors Ltd.,Automobile,Equity,1.1%
30,Kei Industries Ltd.,Capital Goods,Equity,1.1%
31,Oberoi Realty Ltd.,Construction,Equity,1.0%
32,Indusind Bank Ltd.,Financial,Equity,1.0%
33,Britannia Industries Ltd.,Consumer Staples,Equity,1.0%
34,SBI Cards And Payment Services Ltd.,Financial,Equity,1.0%
35,PI Industries Ltd.,Chemicals,Equity,1.0%
36,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.0%
37,Samvardhana Motherson International Ltd.,Automobile,Equity,1.0%
38,SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
39,Vinati Organics Ltd.,Chemicals,Equity,0.9%
40,Avenue Supermarts Ltd.,Services,Equity,0.9%
41,Polycab India Ltd.,Capital Goods,Equity,0.9%
42,Mphasis Ltd.,Technology,Equity,0.9%
43,Gujarat Gas Ltd.,Energy,Equity,0.8%
44,HCL Technologies Ltd.,Technology,Equity,0.8%
45,TCI Express Ltd.,Services,Equity,0.8%
46,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.8%
47,Bata India Ltd.,Consumer Staples,Equity,0.6%
48,Hindalco Industries Ltd.,Metals & Mining,Equity,0.6%
49,Tata Steel Ltd.,Metals & Mining,Equity,0.6%
50,Global Health Ltd.,Healthcare,Equity,0.6%
51,Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
52,Honeywell Automation India Ltd.,Capital Goods,Equity,0.5%
53,Max Financial Services Ltd.,Financial,Equity,0.4%
54,Gland Pharma Ltd.,Healthcare,Equity,0.3%
55,Vedant Fashions Ltd.,Services,Equity,0.3%
