,Name,Sector,Instrument,Assets
0,Kei Industries Ltd.,Capital Goods,Equity,2.6%
1,Cera Sanitaryware Ltd.,Construction,Equity,2.6%
2,Equitas Small Finance Bank Ltd.,Financial,Equity,2.2%
3,Ultratech Cement Ltd.,Construction,Equity,2.1%
4,Multi Commodity Exchange Of India Ltd.,Services,Equity,2.1%
5,City Union Bank Ltd.,Financial,Equity,2.0%
6,PNC Infratech Ltd.,Construction,Equity,1.8%
7,KEC International Ltd.,Capital Goods,Equity,1.8%
8,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.7%
9,PVR Ltd.,Services,Equity,1.7%
10,Schaeffler India Ltd.,Capital Goods,Equity,1.7%
11,VRL Logistics Ltd.,Services,Equity,1.7%
12,Westlife Foodworld Ltd.,Services,Equity,1.7%
13,V-Guard Industries Ltd.,Consumer Discretionary,Equity,1.7%
14,Can Fin Homes Ltd.,Financial,Equity,1.7%
15,The Indian Hotels Company Ltd.,Services,Equity,1.7%
16,JK Lakshmi Cement Ltd.,Construction,Equity,1.7%
17,Persistent Systems Ltd.,Technology,Equity,1.6%
18,Indian Bank,Financial,Equity,1.6%
19,VIP Industries Ltd.,Chemicals,Equity,1.6%
20,CreditAccess Grameen Ltd.,Financial,Equity,1.6%
21,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.5%
22,The Great Eastern Shipping Company Ltd.,Services,Equity,1.5%
23,DCB Bank Ltd.,Financial,Equity,1.5%
24,KNR Constructions Ltd.,Construction,Equity,1.5%
25,Abbott India Ltd.,Healthcare,Equity,1.4%
26,Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
27,Rolex Rings Ltd,Capital Goods,Equity,1.4%
28,E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,1.4%
29,Bikaji Foods International Ltd.,Consumer Staples,Equity,1.4%
30,LTIMindtree Ltd.,Technology,Equity,1.4%
31,Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
32,Max Healthcare Institute Ltd.,Healthcare,Equity,1.3%
33,ICRA Ltd.,Services,Equity,1.3%
34,RHI Magnesita India Ltd.,Construction,Equity,1.3%
35,Grindwell Norton Ltd.,Metals & Mining,Equity,1.3%
36,Mold-Tek Packaging Ltd.,Chemicals,Equity,1.3%
37,Shriram Finance Ltd,Financial,Equity,1.3%
38,Rallis India Ltd.,Chemicals,Equity,1.3%
39,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.3%
40,Timken India Ltd.,Capital Goods,Equity,1.2%
41,Bajaj Finance Ltd.,Financial,Equity,1.1%
42,Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.1%
43,Galaxy Surfactants Ltd.,Chemicals,Equity,1.1%
44,Reliance Industries Ltd.,Energy,Equity,1.1%
45,Deepak Nitrite Ltd.,Chemicals,Equity,1.1%
46,V-Mart Retail Ltd.,Services,Equity,1.1%
47,Mahindra Lifespace Developers Ltd.,Construction,Equity,1.1%
48,Go Fashion (India) Ltd.,Services,Equity,1.0%
49,K.P.R. Mill Ltd.,Textiles,Equity,1.0%
50,National Aluminium Company Ltd.,Metals & Mining,Equity,1.0%
51,Kaynes Technology India Ltd.,Capital Goods,Equity,1.0%
52,Avenue Supermarts Ltd.,Services,Equity,0.9%
53,Greenpanel Industries Ltd.,Consumer Staples,Equity,0.9%
54,Vedant Fashions Ltd.,Services,Equity,0.9%
55,NOCIL Ltd.,Chemicals,Equity,0.9%
56,Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.8%
57,Computer Age Management Services Ltd.,Services,Equity,0.8%
58,Ahluwalia Contracts (India) Ltd.,Construction,Equity,0.8%
59,ITC Ltd.,Consumer Staples,Equity,0.8%
60,Thermax Ltd.,Capital Goods,Equity,0.7%
61,Fine Organic Industries Ltd.,Chemicals,Equity,0.7%
62,Subros Ltd.,Automobile,Equity,0.7%
63,Anand Rathi Wealth Ltd.,Financial,Equity,0.7%
64,Clean Science And Technology Ltd.,Chemicals,Equity,0.6%
65,TCI Express Ltd.,Services,Equity,0.6%
66,Angel One Ltd.,Financial,Equity,0.6%
67,UTI Asset Management Company Ltd.,Financial,Equity,0.6%
68,Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.6%
69,Greenply Industries Ltd.,Consumer Staples,Equity,0.6%
70,TeamLease Services Ltd.,Services,Equity,0.5%
71,Greenlam Industries Ltd.,Consumer Staples,Equity,0.5%
72,Honeywell Automation India Ltd.,Capital Goods,Equity,0.4%
73,EPL Ltd.,Chemicals,Equity,0.4%
74,Sobha Ltd.,Construction,Equity,0.4%
75,KFin Technologies Ltd.,Financial,Equity,0.3%
76,Indian Energy Exchange Ltd.,Services,Equity,0.3%
77,Central Depository Services (India) Ltd.,Financial,Equity,0.3%
78,Gland Pharma Ltd.,Healthcare,Equity,0.2%
79,BSE Ltd.,Financial,Equity,0.2%
