,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,10.4%
1,Bajaj Finance Ltd.,Financial,Equity,7.1%
2,Infosys Ltd.,Technology,Equity,5.8%
3,Tech Mahindra Ltd.,Technology,Equity,5.5%
4,Eicher Motors Ltd.,Automobile,Equity,4.6%
5,Cipla Ltd.,Healthcare,Equity,4.5%
6,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.7%
7,Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.6%
8,SBI Life Insurance Company Ltd.,Insurance,Equity,3.6%
9,Ultratech Cement Ltd.,Construction,Equity,3.5%
10,Emami Ltd.,Consumer Staples,Equity,3.1%
11,Persistent Systems Ltd.,Technology,Equity,3.0%
12,Tata Motors Ltd.,Automobile,Equity,3.0%
13,Supreme Industries Ltd.,Chemicals,Equity,3.0%
14,Ipca Laboratories Ltd.,Healthcare,Equity,3.0%
15,Alkem Laboratories Ltd.,Healthcare,Equity,3.0%
16,Bharat Forge Ltd.,Automobile,Equity,3.0%
17,Coromandel International Ltd.,Chemicals,Equity,2.9%
18,Jubilant FoodWorks Ltd.,Services,Equity,2.9%
19,The Phoenix Mills Ltd.,Construction,Equity,2.7%
20,Gujarat Gas Ltd.,Energy,Equity,2.5%
21,Polycab India Ltd.,Capital Goods,Equity,2.5%
22,SBI Cards And Payment Services Ltd.,Financial,Equity,2.5%
23,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.3%
24,Axis Bank Ltd.,Financial,Equity,2.3%
25,Century Plyboards (India) Ltd.,Consumer Staples,Equity,2.0%
26,Linde India Ltd.,Chemicals,Equity,1.8%
27,Container Corporation Of India Ltd.,Services,Equity,1.1%
28,Sheela Foam Ltd.,Consumer Discretionary,Equity,0.5%
