,Name,Sector,Instrument,Assets
0,Alkem Laboratories Ltd.,Healthcare,Equity,4.1%
1,Supreme Industries Ltd.,Chemicals,Equity,4.0%
2,The Phoenix Mills Ltd.,Construction,Equity,3.8%
3,The Federal Bank Ltd.,Financial,Equity,3.5%
4,Atul Ltd.,Chemicals,Equity,3.5%
5,Ipca Laboratories Ltd.,Healthcare,Equity,3.4%
6,Coromandel International Ltd.,Chemicals,Equity,3.2%
7,Bharat Forge Ltd.,Automobile,Equity,3.2%
8,Polycab India Ltd.,Capital Goods,Equity,3.0%
9,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.7%
10,Cyient Ltd.,Technology,Equity,2.7%
11,Emami Ltd.,Consumer Staples,Equity,2.7%
12,ICICI Bank Ltd.,Financial,Equity,2.6%
13,JK Cement Ltd.,Construction,Equity,2.5%
14,Tata Chemicals Ltd.,Chemicals,Equity,2.4%
15,Balkrishna Industries Ltd.,Automobile,Equity,2.4%
16,Jubilant FoodWorks Ltd.,Services,Equity,2.3%
17,Bata India Ltd.,Consumer Staples,Equity,2.3%
18,Manappuram Finance Ltd.,Financial,Equity,2.3%
19,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,2.0%
20,Eicher Motors Ltd.,Automobile,Equity,1.9%
21,Alembic Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
22,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.8%
23,Gujarat Gas Ltd.,Energy,Equity,1.8%
24,Sheela Foam Ltd.,Consumer Discretionary,Equity,1.8%
25,Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.8%
26,Max Financial Services Ltd.,Financial,Equity,1.7%
27,UNO Minda Ltd.,Automobile,Equity,1.6%
28,Persistent Systems Ltd.,Technology,Equity,1.5%
29,Thermax Ltd.,Capital Goods,Equity,1.5%
30,AU Small Finance Bank Ltd.,Financial,Equity,1.4%
31,Bharat Electronics Ltd.,Capital Goods,Equity,1.3%
32,Linde India Ltd.,Chemicals,Equity,1.2%
33,Kajaria Ceramics Ltd.,Construction,Equity,1.2%
34,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.2%
35,Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.2%
36,Container Corporation Of India Ltd.,Services,Equity,1.1%
37,Timken India Ltd.,Capital Goods,Equity,1.1%
38,Coforge Ltd.,Technology,Equity,1.1%
39,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.0%
40,Dhanuka Agritech Ltd.,Chemicals,Equity,0.9%
41,Tube Investments Of India Ltd.,Automobile,Equity,0.9%
42,Can Fin Homes Ltd.,Financial,Equity,0.9%
43,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.8%
44,eClerx Services Ltd.,Services,Equity,0.8%
45,Aptus Value Housing Finance India Ltd.,Financial,Equity,0.8%
46,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.7%
47,Just Dial Ltd.,Services,Equity,0.7%
48,Jubilant Ingrevia Ltd.,Chemicals,Equity,0.6%
49,City Union Bank Ltd.,Financial,Equity,0.6%
50,Suprajit Engineering Ltd.,Automobile,Equity,0.4%
51,Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.1%
