,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.8%
1,Axis Bank Ltd.,Financial,Equity,7.5%
2,Housing Development Finance Corporation Ltd.,Financial,Equity,6.8%
3,Power Grid Corporation Of India Ltd.,Energy,Equity,5.0%
4,Cipla Ltd.,Healthcare,Equity,4.8%
5,ITC Ltd.,Consumer Staples,Equity,4.6%
6,HCL Technologies Ltd.,Technology,Equity,4.0%
7,Tech Mahindra Ltd.,Technology,Equity,4.0%
8,HDFC Bank Ltd.,Financial,Equity,3.4%
9,SBI Life Insurance Company Ltd.,Insurance,Equity,3.2%
10,SBI Cards And Payment Services Ltd.,Financial,Equity,3.1%
11,Mahindra & Mahindra Ltd.,Automobile,Equity,2.9%
12,Eicher Motors Ltd.,Automobile,Equity,2.8%
13,Tata Motors Ltd.,Automobile,Equity,2.8%
14,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.8%
15,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.7%
16,State Bank of India,Financial,Equity,2.6%
17,Alkem Laboratories Ltd.,Healthcare,Equity,2.4%
18,Infosys Ltd.,Technology,Equity,2.4%
19,Ipca Laboratories Ltd.,Healthcare,Equity,2.2%
20,Hero Motocorp Ltd.,Automobile,Equity,2.0%
21,Bajaj Finance Ltd.,Financial,Equity,2.0%
22,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.9%
23,Samvardhana Motherson International Ltd.,Automobile,Equity,1.7%
24,Emami Ltd.,Consumer Staples,Equity,1.5%
25,Ultratech Cement Ltd.,Construction,Equity,1.4%
26,Siemens Ltd.,Capital Goods,Equity,1.2%
27,Lupin Ltd.,Healthcare,Equity,1.1%
28,Alembic Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
29,Coromandel International Ltd.,Chemicals,Equity,0.9%
30,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.9%
