,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.9%
1,Infosys Ltd.,Technology,Equity,7.4%
2,HDFC Bank Ltd.,Financial,Equity,6.8%
3,Larsen & Toubro Ltd.,Construction,Equity,5.3%
4,Reliance Industries Ltd.,Energy,Equity,5.3%
5,State Bank of India,Financial,Equity,4.5%
6,Axis Bank Ltd.,Financial,Equity,4.3%
7,Cummins India Ltd.,Capital Goods,Equity,3.3%
8,Ultratech Cement Ltd.,Construction,Equity,3.3%
9,ITC Ltd.,Consumer Staples,Equity,3.1%
10,ABB India Ltd.,Capital Goods,Equity,2.7%
11,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.5%
12,Housing Development Finance Corporation Ltd.,Financial,Equity,2.3%
13,Bharti Airtel Ltd.,Communication,Equity,2.1%
14,HCL Technologies Ltd.,Technology,Equity,1.9%
15,Bharat Electronics Ltd.,Capital Goods,Equity,1.9%
16,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
17,The Federal Bank Ltd.,Financial,Equity,1.8%
18,Tata Consultancy Services Ltd.,Technology,Equity,1.6%
19,Trent Ltd.,Services,Equity,1.5%
20,Eicher Motors Ltd.,Automobile,Equity,1.4%
21,Persistent Systems Ltd.,Technology,Equity,1.3%
22,Samvardhana Motherson International Ltd.,Automobile,Equity,1.2%
23,Syngene International Ltd.,Healthcare,Equity,1.1%
24,Bharat Dynamics Ltd.,Capital Goods,Equity,1.1%
25,NTPC Ltd.,Energy,Equity,1.1%
26,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.1%
27,Dabur India Ltd.,Consumer Staples,Equity,1.0%
28,Navin Fluorine International Ltd.,Chemicals,Equity,1.0%
29,Kajaria Ceramics Ltd.,Construction,Equity,1.0%
30,PI Industries Ltd.,Chemicals,Equity,1.0%
31,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
32,CreditAccess Grameen Ltd.,Financial,Equity,0.9%
33,Mahindra & Mahindra Ltd.,Automobile,Equity,0.9%
34,Astral Ltd.,Chemicals,Equity,0.9%
35,Oberoi Realty Ltd.,Construction,Equity,0.9%
36,Brigade Enterprises Ltd.,Construction,Equity,0.8%
37,SBI Life Insurance Company Ltd.,Insurance,Equity,0.7%
38,Hindalco Industries Ltd.,Metals & Mining,Equity,0.7%
39,KEC International Ltd.,Capital Goods,Equity,0.7%
40,Tata Motors Ltd.,Automobile,Equity,0.7%
41,Titan Company Ltd.,Consumer Discretionary,Equity,0.6%
42,Kei Industries Ltd.,Capital Goods,Equity,0.5%
43,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.5%
44,Maruti Suzuki India Ltd.,Automobile,Equity,0.5%
45,Ashok Leyland Ltd.,Automobile,Equity,0.5%
46,GAIL (India) Ltd.,Energy,Equity,0.5%
47,Bajaj Finance Ltd.,Financial,Equity,0.5%
48,Cipla Ltd.,Healthcare,Equity,0.5%
49,Honeywell Automation India Ltd.,Capital Goods,Equity,0.5%
50,Bikaji Foods International Ltd.,Consumer Staples,Equity,0.5%
51,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.3%
