,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,8.7%
1,HDFC Bank Ltd.,Financial,Equity,8.5%
2,ICICI Bank Ltd.,Financial,Equity,8.1%
3,Larsen & Toubro Ltd.,Construction,Equity,5.2%
4,Reliance Industries Ltd.,Energy,Equity,5.2%
5,Axis Bank Ltd.,Financial,Equity,5.0%
6,State Bank of India,Financial,Equity,4.3%
7,Cummins India Ltd.,Capital Goods,Equity,3.8%
8,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.8%
9,ITC Ltd.,Consumer Staples,Equity,3.4%
10,ABB India Ltd.,Capital Goods,Equity,3.3%
11,Ultratech Cement Ltd.,Construction,Equity,3.2%
12,The Federal Bank Ltd.,Financial,Equity,2.9%
13,Bharti Airtel Ltd.,Communication,Equity,2.9%
14,Bharat Electronics Ltd.,Capital Goods,Equity,2.9%
15,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.8%
16,Persistent Systems Ltd.,Technology,Equity,2.8%
17,Kei Industries Ltd.,Capital Goods,Equity,2.4%
18,Trent Ltd.,Services,Equity,2.3%
19,Kajaria Ceramics Ltd.,Construction,Equity,2.0%
20,Syngene International Ltd.,Healthcare,Equity,2.0%
21,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
22,Titan Company Ltd.,Consumer Discretionary,Equity,1.5%
23,Navin Fluorine International Ltd.,Chemicals,Equity,1.5%
24,Samvardhana Motherson International Ltd.,Automobile,Equity,1.5%
25,SBI Life Insurance Company Ltd.,Insurance,Equity,1.4%
26,Astral Ltd.,Chemicals,Equity,1.1%
27,Tata Motors Ltd.,Automobile,Equity,1.0%
28,Oberoi Realty Ltd.,Construction,Equity,1.0%
29,Mahindra & Mahindra Ltd.,Automobile,Equity,1.0%
