,Name,Sector,Instrument,Assets
0,Westlife Foodworld Ltd.,Services,Equity,3.3%
1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.1%
2,Kei Industries Ltd.,Capital Goods,Equity,2.9%
3,Persistent Systems Ltd.,Technology,Equity,2.3%
4,The Federal Bank Ltd.,Financial,Equity,2.2%
5,Navin Fluorine International Ltd.,Chemicals,Equity,2.0%
6,Max Healthcare Institute Ltd.,Healthcare,Equity,1.9%
7,Can Fin Homes Ltd.,Financial,Equity,1.9%
8,Carborundum Universal Ltd.,Metals & Mining,Equity,1.9%
9,JK Lakshmi Cement Ltd.,Construction,Equity,1.9%
10,Syngene International Ltd.,Healthcare,Equity,1.9%
11,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.8%
12,Mold-Tek Packaging Ltd.,Chemicals,Equity,1.8%
13,Brigade Enterprises Ltd.,Construction,Equity,1.8%
14,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.8%
15,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.7%
16,V-Mart Retail Ltd.,Services,Equity,1.7%
17,Kajaria Ceramics Ltd.,Construction,Equity,1.7%
18,GMM Pfaudler Ltd.,Capital Goods,Equity,1.7%
19,City Union Bank Ltd.,Financial,Equity,1.6%
20,Apar Industries Ltd.,Diversified,Equity,1.6%
21,Indian Bank,Financial,Equity,1.6%
22,Birlasoft Ltd.,Technology,Equity,1.6%
23,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.6%
24,Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.6%
25,KEC International Ltd.,Capital Goods,Equity,1.5%
26,K.P.R. Mill Ltd.,Textiles,Equity,1.5%
27,Ceat Ltd.,Automobile,Equity,1.5%
28,Bikaji Foods International Ltd.,Consumer Staples,Equity,1.4%
29,Jamna Auto Industries Ltd.,Automobile,Equity,1.4%
30,Praj Industries Ltd.,Capital Goods,Equity,1.4%
31,RateGain Travel Technologies Ltd.,Technology,Equity,1.4%
32,Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.3%
33,RHI Magnesita India Ltd.,Construction,Equity,1.3%
34,PNC Infratech Ltd.,Construction,Equity,1.3%
35,The Great Eastern Shipping Company Ltd.,Services,Equity,1.3%
36,Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.2%
37,Action Construction Equipment Ltd.,Capital Goods,Equity,1.2%
38,The Phoenix Mills Ltd.,Construction,Equity,1.2%
39,Timken India Ltd.,Capital Goods,Equity,1.2%
40,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.1%
41,KNR Constructions Ltd.,Construction,Equity,1.1%
42,Cummins India Ltd.,Capital Goods,Equity,1.1%
43,UNO Minda Ltd.,Automobile,Equity,1.1%
44,NOCIL Ltd.,Chemicals,Equity,1.1%
45,Minda Corporation Ltd.,Automobile,Equity,1.1%
46,Dalmia Bharat Ltd.,Construction,Equity,1.1%
47,Tata Chemicals Ltd.,Chemicals,Equity,1.0%
48,Garware Technical Fibres Ltd.,Textiles,Equity,1.0%
49,Metro Brands Ltd.,Consumer Staples,Equity,1.0%
50,TCI Express Ltd.,Services,Equity,0.9%
51,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.9%
52,Equitas Small Finance Bank Ltd.,Financial,Equity,0.9%
53,CSB Bank Ltd.,Financial,Equity,0.9%
54,Orient Electric Ltd.,Consumer Discretionary,Equity,0.9%
55,Emami Ltd.,Consumer Staples,Equity,0.9%
56,Subros Ltd.,Automobile,Equity,0.9%
57,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.9%
58,Gateway Distriparks Ltd.,Services,Equity,0.8%
59,Voltamp Transformers Ltd.,Capital Goods,Equity,0.8%
60,TeamLease Services Ltd.,Services,Equity,0.8%
61,Tejas Networks Ltd.,Communication,Equity,0.8%
62,Mahindra Logistics Ltd.,Services,Equity,0.8%
63,Greenpanel Industries Ltd.,Consumer Staples,Equity,0.7%
64,LIC Housing Finance Ltd.,Financial,Equity,0.7%
65,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.7%
66,Mastek Ltd.,Technology,Equity,0.6%
67,Agro Tech Foods Ltd.,Consumer Staples,Equity,0.6%
68,Rolex Rings Ltd,Capital Goods,Equity,0.5%
69,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.3%
70,Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.3%
71,Vedant Fashions Ltd.,Services,Equity,0.3%
72,Angel One Ltd.,Financial,Equity,0.3%
