,Name,Sector,Instrument,Assets
0,Larsen & Toubro Ltd.,Construction,Equity,10.0%
1,ICICI Bank Ltd.,Financial,Equity,6.8%
2,NTPC Ltd.,Energy,Equity,5.3%
3,Power Grid Corporation Of India Ltd.,Energy,Equity,5.0%
4,Kei Industries Ltd.,Capital Goods,Equity,4.8%
5,Reliance Industries Ltd.,Energy,Equity,4.7%
6,Bharti Airtel Ltd.,Communication,Equity,4.7%
7,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,4.0%
8,Axis Bank Ltd.,Financial,Equity,3.6%
9,Ion Exchange (India) Ltd.,Capital Goods,Equity,3.0%
10,Interglobe Aviation Ltd.,Services,Equity,3.0%
11,State Bank of India,Financial,Equity,2.6%
12,Multi Commodity Exchange Of India Ltd.,Services,Equity,2.5%
13,Ashok Leyland Ltd.,Automobile,Equity,2.3%
14,Indraprastha Gas Ltd.,Energy,Equity,2.2%
15,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.1%
16,Bharat Forge Ltd.,Automobile,Equity,2.1%
17,Cummins India Ltd.,Capital Goods,Equity,2.1%
18,Ultratech Cement Ltd.,Construction,Equity,2.0%
19,Sobha Ltd.,Construction,Equity,1.9%
20,Container Corporation Of India Ltd.,Services,Equity,1.9%
21,Tata Steel Ltd.,Metals & Mining,Equity,1.9%
22,Maruti Suzuki India Ltd.,Automobile,Equity,1.7%
23,MM Forgings Ltd.,Metals & Mining,Equity,1.6%
24,Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.6%
25,Gateway Distriparks Ltd.,Services,Equity,1.6%
26,Somany Ceramics Ltd.,Construction,Equity,1.4%
27,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.4%
28,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.3%
29,NRB Bearings Ltd.,Capital Goods,Equity,1.2%
30,Bharat Electronics Ltd.,Capital Goods,Equity,1.2%
31,Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.0%
32,Escorts Kubota Ltd.,Automobile,Equity,0.9%
33,ACC Ltd.,Construction,Equity,0.9%
34,ITD Cementation India Ltd.,Construction,Equity,0.7%
35,Puravankara Ltd.,Construction,Equity,0.4%
