,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,11.9%
1,Tata Consultancy Services Ltd.,Technology,Equity,11.7%
2,HCL Technologies Ltd.,Technology,Equity,9.4%
3,Franklin Technology Fund,Financial,Forgn.MF- Equity,9.2%
4,Bharti Airtel Ltd.,Communication,Equity,4.9%
5,Tech Mahindra Ltd.,Technology,Equity,4.4%
6,Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,3.8%
7,PB Fintech Ltd.,Services,Equity,3.5%
8,Info Edge (India) Ltd.,Services,Equity,2.9%
9,Zomato Ltd.,Services,Equity,2.7%
10,Zensar Technologies Ltd.,Technology,Equity,2.5%
11,Amazon. com Inc. (USA),Services,Forgn. Eq,1.7%
12,One97 Communications Ltd.,Services,Equity,1.7%
13,Alibaba Group Holdings Ltd.,Services,Forgn. Eq,1.6%
14,Freshworks Inc.,Technology,Forgn. Eq,1.6%
15,Mphasis Ltd.,Technology,Equity,1.6%
16,Cyient Ltd.,Technology,Equity,1.4%
17,Tencent Holdings Ltd.,Technology,Forgn. Eq,1.4%
18,TeamLease Services Ltd.,Services,Equity,1.4%
19,Samsung Electronics Co Ltd. (South Korea),Capital Goods,Forgn. Eq,1.3%
20,Microsoft Corportion (US),Technology,Forgn. Eq,1.1%
21,Apple Inc. (USA),Consumer Discretionary,Forgn. Eq,1.1%
22,Indiamart Intermesh Ltd.,Services,Equity,1.1%
23,MediaTek (Taiwan),Capital Goods,Forgn. Eq,1.1%
24,Facebook Co,Services,Forgn. Eq,1.1%
25,Coforge Ltd.,Technology,Equity,1.0%
26,Intellect Design Arena Ltd.,Technology,Equity,0.9%
27,MakeMy Trip Ltd.,Services,Forgn. Eq,0.9%
28,Affle (India) Ltd.,Technology,Equity,0.8%
29,LG Chemicals Ltd.,Chemicals,Forgn. Eq,0.8%
30,RateGain Travel Technologies Ltd.,Technology,Equity,0.8%
31,Intel Corporation (USA),Capital Goods,Forgn. Eq,0.7%
32,Samsung SDI,Capital Goods,Forgn. Eq,0.7%
33,FSN E-Commerce Ventures Ltd.,Services,Equity,0.7%
34,Zoom Video Communications Inc,Technology,Forgn. Eq,0.6%
35,Firstsource Solutions Ltd.,Services,Equity,0.5%
36,Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,Forgn. Eq,0.5%
37,Tracxn Technologies Ltd.,Technology,Equity,0.4%
