,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.8%
1,HDFC Bank Ltd.,Financial,Equity,9.6%
2,Infosys Ltd.,Technology,Equity,7.8%
3,Axis Bank Ltd.,Financial,Equity,5.1%
4,State Bank of India,Financial,Equity,4.4%
5,Bharti Airtel Ltd.,Communication,Equity,4.2%
6,NTPC Ltd.,Energy,Equity,3.2%
7,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.0%
8,Larsen & Toubro Ltd.,Construction,Equity,2.8%
9,Tata Motors Ltd.,Automobile,Equity,2.4%
10,HCL Technologies Ltd.,Technology,Equity,2.3%
11,Bharat Dynamics Ltd.,Capital Goods,Equity,1.8%
12,Max Healthcare Institute Ltd.,Healthcare,Equity,1.8%
13,ITC Ltd.,Consumer Staples,Equity,1.7%
14,SBI Life Insurance Company Ltd.,Insurance,Equity,1.6%
15,Tech Mahindra Ltd.,Technology,Equity,1.6%
16,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.4%
17,Radico Khaitan Ltd.,Consumer Staples,Equity,1.3%
18,Cipla Ltd.,Healthcare,Equity,1.2%
19,The Phoenix Mills Ltd.,Construction,Equity,1.2%
20,Housing Development Finance Corporation Ltd.,Financial,Equity,1.2%
21,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.2%
22,United Spirits Ltd.,Consumer Staples,Equity,1.1%
23,Bharat Electronics Ltd.,Capital Goods,Equity,1.1%
24,Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.1%
25,Ambuja Cements Ltd.,Construction,Equity,1.1%
26,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
27,Ultratech Cement Ltd.,Construction,Equity,1.0%
28,Bosch Ltd.,Automobile,Equity,1.0%
29,VIP Industries Ltd.,Chemicals,Equity,1.0%
30,Tata Steel Ltd.,Metals & Mining,Equity,1.0%
31,Prestige Estates Projects Ltd.,Construction,Equity,1.0%
32,Bharat Forge Ltd.,Automobile,Equity,0.9%
33,SKF India Ltd.,Capital Goods,Equity,0.9%
34,GAIL (India) Ltd.,Energy,Equity,0.9%
35,Bajaj Auto Ltd.,Automobile,Equity,0.8%
36,United Breweries Ltd.,Consumer Staples,Equity,0.8%
37,TCI Express Ltd.,Services,Equity,0.8%
38,Maruti Suzuki India Ltd.,Automobile,Equity,0.8%
39,L&T Technology Services Ltd.,Technology,Equity,0.8%
40,PVR Ltd.,Services,Equity,0.8%
41,Equitas Small Finance Bank Ltd.,Financial,Equity,0.8%
42,Lupin Ltd.,Healthcare,Equity,0.8%
43,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.7%
44,UTI Asset Management Company Ltd.,Financial,Equity,0.7%
45,Coal India Ltd.,Energy,Equity,0.6%
46,Apollo Tyres Ltd.,Automobile,Equity,0.6%
47,Mishra Dhatu Nigam Ltd.,Metals & Mining,Equity,0.6%
48,Gujarat Pipavav Port Ltd.,Services,Equity,0.6%
49,Ajanta Pharma Ltd.,Healthcare,Equity,0.6%
50,Emami Ltd.,Consumer Staples,Equity,0.6%
51,Ashoka Buildcon Ltd.,Construction,Equity,0.5%
52,Metro Brands Ltd.,Consumer Staples,Equity,0.5%
53,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.4%
54,Indoco Remedies Ltd.,Healthcare,Equity,0.4%
55,Life Insurance Corporation of India,Insurance,Equity,0.4%
56,Medplus Health Services Ltd.,Healthcare,Equity,0.4%
57,Central Depository Services (India) Ltd.,Financial,Equity,0.4%
58,Muthoot Finance Ltd.,Financial,Equity,0.3%
59,Zee Entertainment Enterprises Ltd.,Services,Equity,0.3%
60,GR Infraprojects Ltd.,Construction,Equity,0.3%
61,Uniparts India Ltd.,Automobile,Equity,0.2%
62,Dilip Buildcon Ltd.,Construction,Equity,0.2%
63,Bajaj Electricals Ltd.,Consumer Discretionary,Equity,0.2%
64,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
