,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.7%
1,HDFC Bank Ltd.,Financial,Equity,6.1%
2,Infosys Ltd.,Technology,Equity,5.5%
3,State Bank of India,Financial,Equity,5.5%
4,NTPC Ltd.,Energy,Equity,4.7%
5,HCL Technologies Ltd.,Technology,Equity,4.6%
6,Bharti Airtel Ltd.,Communication,Equity,4.5%
7,Hindustan Aeronautics Ltd.,Capital Goods,Equity,4.0%
8,Mahindra & Mahindra Ltd.,Automobile,Equity,4.0%
9,Housing Development Finance Corporation Ltd.,Financial,Equity,3.7%
10,SBI Life Insurance Company Ltd.,Insurance,Equity,3.6%
11,Cipla Ltd.,Healthcare,Equity,3.2%
12,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.0%
13,Axis Bank Ltd.,Financial,Equity,2.7%
14,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.6%
15,Larsen & Toubro Ltd.,Construction,Equity,2.4%
16,SBI Cards And Payment Services Ltd.,Financial,Equity,2.3%
17,Bank Of Baroda,Financial,Equity,2.1%
18,Bharat Dynamics Ltd.,Capital Goods,Equity,1.9%
19,Tech Mahindra Ltd.,Technology,Equity,1.7%
20,Reliance Industries Ltd.,Energy,Equity,1.5%
21,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.4%
22,GAIL (India) Ltd.,Energy,Equity,1.3%
23,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.2%
24,Lupin Ltd.,Healthcare,Equity,1.0%
25,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.0%
26,Tata Motors Ltd.,Automobile,Equity,0.9%
27,Ultratech Cement Ltd.,Construction,Equity,0.8%
28,Indian Railway Finance Corporation Ltd.,Financial,Equity,0.7%
29,BEML Ltd.,Capital Goods,Equity,0.7%
30,Prestige Estates Projects Ltd.,Construction,Equity,0.7%
31,Tata Communications Ltd.,Communication,Equity,0.7%
32,CESC Ltd.,Energy,Equity,0.6%
33,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.6%
34,ITC Ltd.,Consumer Staples,Equity,0.6%
35,Bosch Ltd.,Automobile,Equity,0.5%
36,Delhivery Ltd.,Services,Equity,0.5%
37,Varroc Engineering Ltd.,Automobile,Equity,0.4%
38,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.3%
39,Coal India Ltd.,Energy,Equity,0.3%
40,Zee Entertainment Enterprises Ltd.,Services,Equity,0.3%
41,Life Insurance Corporation of India,Insurance,Equity,0.3%
42,Interglobe Aviation Ltd.,Services,Equity,0.2%
43,Time Technoplast Ltd.,Chemicals,Equity,0.2%
44,Hindustan Construction Company Ltd.,Construction,Equity,0.2%
45,BEML Land Assets Ltd.,Services,Equity,0.1%
