,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.2%
1,HDFC Bank Ltd.,Financial,Equity,8.1%
2,Infosys Ltd.,Technology,Equity,5.0%
3,Bharti Airtel Ltd.,Communication,Equity,4.5%
4,HCL Technologies Ltd.,Technology,Equity,4.3%
5,Hindustan Aeronautics Ltd.,Capital Goods,Equity,4.1%
6,Mahindra & Mahindra Ltd.,Automobile,Equity,4.1%
7,State Bank of India,Financial,Equity,4.1%
8,NTPC Ltd.,Energy,Equity,4.0%
9,SBI Life Insurance Company Ltd.,Insurance,Equity,3.9%
10,Cipla Ltd.,Healthcare,Equity,3.4%
11,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.1%
12,SBI Cards And Payment Services Ltd.,Financial,Equity,3.0%
13,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.7%
14,Axis Bank Ltd.,Financial,Equity,2.6%
15,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.5%
16,Bosch Ltd.,Automobile,Equity,2.4%
17,Prestige Estates Projects Ltd.,Construction,Equity,2.3%
18,Bank Of Baroda,Financial,Equity,2.3%
19,GAIL (India) Ltd.,Energy,Equity,1.9%
20,Bajaj Auto Ltd.,Automobile,Equity,1.7%
21,Bharat Dynamics Ltd.,Capital Goods,Equity,1.7%
22,Tech Mahindra Ltd.,Technology,Equity,1.7%
23,Escorts Kubota Ltd.,Automobile,Equity,1.5%
24,Larsen & Toubro Ltd.,Construction,Equity,1.5%
25,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.3%
26,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.1%
27,Delhivery Ltd.,Services,Equity,0.6%
