,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,4.3%
1,HDFC Bank Ltd.,Financial,Equity,4.0%
2,Infosys Ltd.,Technology,Equity,2.8%
3,Reliance Industries Ltd.,Energy,Equity,2.5%
4,Apar Industries Ltd.,Diversified,Equity,2.3%
5,ITC Ltd.,Consumer Staples,Equity,1.9%
6,Tata Consultancy Services Ltd.,Technology,Equity,1.9%
7,Larsen & Toubro Ltd.,Construction,Equity,1.8%
8,The Indian Hotels Company Ltd.,Services,Equity,1.7%
9,State Bank of India,Financial,Equity,1.7%
10,Ultratech Cement Ltd.,Construction,Equity,1.6%
11,Max Healthcare Institute Ltd.,Healthcare,Equity,1.5%
12,HCL Technologies Ltd.,Technology,Equity,1.4%
13,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.4%
14,Housing Development Finance Corporation Ltd.,Financial,Equity,1.2%
15,Archean Chemical Industries Ltd.,Chemicals,Equity,1.2%
16,Tata Motors Ltd.,Automobile,Equity,1.2%
17,Axis Bank Ltd.,Financial,Equity,1.2%
18,The Federal Bank Ltd.,Financial,Equity,1.2%
19,SBI Life Insurance Company Ltd.,Insurance,Equity,1.2%
20,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.1%
21,Apollo Tyres Ltd.,Automobile,Equity,1.1%
22,Carborundum Universal Ltd.,Metals & Mining,Equity,1.1%
23,Vesuvius India Ltd.,Construction,Equity,1.1%
24,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
25,360 One Wam Ltd,Financial,Equity,1.0%
26,Bharti Airtel Ltd.,Communication,Equity,1.0%
27,Supreme Industries Ltd.,Chemicals,Equity,1.0%
28,Coal India Ltd.,Energy,Equity,0.9%
29,NTPC Ltd.,Energy,Equity,0.9%
30,Indusind Bank Ltd.,Financial,Equity,0.9%
31,Escorts Kubota Ltd.,Automobile,Equity,0.9%
32,Persistent Systems Ltd.,Technology,Equity,0.8%
33,Atul Ltd.,Chemicals,Equity,0.8%
34,Shriram Finance Ltd,Financial,Equity,0.8%
35,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,0.8%
36,Bharat Forge Ltd.,Automobile,Equity,0.8%
37,Tata Communications Ltd.,Communication,Equity,0.8%
38,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.8%
39,Navin Fluorine International Ltd.,Chemicals,Equity,0.8%
40,The Great Eastern Shipping Company Ltd.,Services,Equity,0.8%
41,Tata Steel Ltd.,Metals & Mining,Equity,0.8%
42,Timken India Ltd.,Capital Goods,Equity,0.8%
43,Wheels India Ltd.,Automobile,Equity,0.8%
44,Kotak Mahindra Bank Ltd.,Financial,Equity,0.7%
45,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.7%
46,Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.7%
47,MTAR Technologies Ltd.,Capital Goods,Equity,0.7%
48,Voltas Ltd.,Consumer Discretionary,Equity,0.7%
49,Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.7%
50,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.7%
51,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.7%
52,Ambuja Cements Ltd.,Construction,Equity,0.7%
53,Birla Corporation Ltd.,Construction,Equity,0.6%
54,Zee Entertainment Enterprises Ltd.,Services,Equity,0.6%
55,Centum Electronics Ltd.,Capital Goods,Equity,0.6%
56,Coforge Ltd.,Technology,Equity,0.6%
57,United Spirits Ltd.,Consumer Staples,Equity,0.6%
58,Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.6%
59,Mphasis Ltd.,Technology,Equity,0.6%
60,Dabur India Ltd.,Consumer Staples,Equity,0.6%
61,Asian Paints Ltd.,Chemicals,Equity,0.6%
62,Cipla Ltd.,Healthcare,Equity,0.6%
63,Tech Mahindra Ltd.,Technology,Equity,0.6%
64,Chalet Hotels Ltd.,Services,Equity,0.6%
65,Mahanagar Gas Ltd.,Energy,Equity,0.6%
66,Maruti Suzuki India Ltd.,Automobile,Equity,0.6%
67,Alkem Laboratories Ltd.,Healthcare,Equity,0.6%
68,PB Fintech Ltd.,Services,Equity,0.6%
69,The Ramco Cements Ltd.,Construction,Equity,0.5%
70,Pidilite Industries Ltd.,Chemicals,Equity,0.5%
71,Metro Brands Ltd.,Consumer Staples,Equity,0.5%
72,Sonata Software Ltd.,Technology,Equity,0.5%
73,Bharat Dynamics Ltd.,Capital Goods,Equity,0.5%
74,Elecon Engineering Company Ltd.,Capital Goods,Equity,0.5%
75,Power Finance Corporation Ltd.,Financial,Equity,0.5%
76,REC Ltd.,Financial,Equity,0.5%
77,Ipca Laboratories Ltd.,Healthcare,Equity,0.5%
78,Bajaj Electricals Ltd.,Consumer Discretionary,Equity,0.5%
79,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
80,Torrent Power Ltd.,Energy,Equity,0.5%
81,Delta Corp Ltd.,Services,Equity,0.5%
82,Sundaram Finance Ltd.,Financial,Equity,0.5%
83,United Breweries Ltd.,Consumer Staples,Equity,0.5%
84,Trent Ltd.,Services,Equity,0.5%
85,Glenmark Pharmaceuticals Ltd.,Healthcare,Equity,0.5%
86,Kajaria Ceramics Ltd.,Construction,Equity,0.5%
87,Aarti Industries Ltd.,Chemicals,Equity,0.5%
88,Nilkamal Ltd.,Chemicals,Equity,0.5%
89,Hindustan Construction Company Ltd.,Construction,Equity,0.4%
90,Muthoot Finance Ltd.,Financial,Equity,0.4%
91,Motilal Oswal Financial Services Ltd.,Financial,Equity,0.4%
92,Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.4%
93,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.4%
94,Aurobindo Pharma Ltd.,Healthcare,Equity,0.4%
