,Name,Sector,Instrument,Assets
0,Larsen & Toubro Ltd.,Construction,Equity,10.1%
1,NTPC Ltd.,Energy,Equity,7.7%
2,Reliance Industries Ltd.,Energy,Equity,7.0%
3,Kei Industries Ltd.,Capital Goods,Equity,6.3%
4,Bharat Electronics Ltd.,Capital Goods,Equity,4.9%
5,Ultratech Cement Ltd.,Construction,Equity,4.5%
6,DLF Ltd.,Construction,Equity,4.2%
7,Schaeffler India Ltd.,Capital Goods,Equity,4.1%
8,Container Corporation Of India Ltd.,Services,Equity,3.5%
9,Adani Ports and Special Economic Zone Ltd.,Services,Equity,3.3%
10,APL Apollo Tubes Ltd.,Metals & Mining,Equity,3.2%
11,Mahindra Logistics Ltd.,Services,Equity,3.2%
12,Indraprastha Gas Ltd.,Energy,Equity,3.2%
13,Siemens Ltd.,Capital Goods,Equity,3.0%
14,Carborundum Universal Ltd.,Metals & Mining,Equity,3.0%
15,ACC Ltd.,Construction,Equity,3.0%
16,PNC Infratech Ltd.,Construction,Equity,2.9%
17,ABB India Ltd.,Capital Goods,Equity,2.8%
18,KNR Constructions Ltd.,Construction,Equity,2.3%
19,Phoenix Mills Ltd.,Construction,Equity,2.0%
20,Honeywell Automation India Ltd.,Capital Goods,Equity,1.8%
21,Ashok Leyland Ltd.,Automobile,Equity,1.8%
22,Polycab India Ltd.,Capital Goods,Equity,1.7%
23,Gujarat Gas Ltd.,Energy,Equity,1.7%
24,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.6%
25,Sundram Fasteners Ltd.,Capital Goods,Equity,1.3%
26,Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.2%
27,Thermax Ltd.,Capital Goods,Equity,1.1%
28,NCC Ltd.,Construction,Equity,1.1%
29,Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.9%
30,Ashoka Buildcon Ltd.,Construction,Equity,0.9%
