,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,4.6%
1,Reliance Industries Ltd.,Energy,Equity,4.2%
2,ICICI Bank Ltd.,Financial,Equity,4.1%
3,The Indian Hotels Company Ltd.,Services,Equity,4.0%
4,Larsen & Toubro Ltd.,Construction,Equity,3.5%
5,Persistent Systems Ltd.,Technology,Equity,3.3%
6,Ultratech Cement Ltd.,Construction,Equity,3.0%
7,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.0%
8,KPIT Technologies Ltd.,Technology,Equity,2.9%
9,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.8%
10,TVS Motor Company Ltd.,Automobile,Equity,2.7%
11,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,2.6%
12,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.3%
13,The Federal Bank Ltd.,Financial,Equity,2.0%
14,Schaeffler India Ltd.,Capital Goods,Equity,1.9%
15,Infosys Ltd.,Technology,Equity,1.9%
16,Shoppers Stop Ltd.,Services,Equity,1.8%
17,Navin Fluorine International Ltd.,Chemicals,Equity,1.7%
18,Mahindra & Mahindra Ltd.,Automobile,Equity,1.7%
19,UNO Minda Ltd.,Automobile,Equity,1.6%
20,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.6%
21,Axis Bank Ltd.,Financial,Equity,1.6%
22,The Phoenix Mills Ltd.,Construction,Equity,1.6%
23,Siemens Ltd.,Capital Goods,Equity,1.6%
24,SRF Ltd.,Diversified,Equity,1.5%
25,Westlife Foodworld Ltd.,Services,Equity,1.5%
26,Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
27,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.5%
28,Escorts Kubota Ltd.,Automobile,Equity,1.5%
29,NTPC Ltd.,Energy,Equity,1.5%
30,LTIMindtree Ltd.,Technology,Equity,1.4%
31,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.4%
32,ABB India Ltd.,Capital Goods,Equity,1.4%
33,Britannia Industries Ltd.,Consumer Staples,Equity,1.3%
34,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.3%
35,Prudent Corporate Advisory Services Ltd.,Financial,Equity,1.3%
36,HDFC Asset Management Company Ltd.,Financial,Equity,1.2%
37,Indusind Bank Ltd.,Financial,Equity,1.2%
38,Thermax Ltd.,Capital Goods,Equity,1.2%
39,Canara Bank,Financial,Equity,1.1%
40,Sonata Software Ltd.,Technology,Equity,1.1%
41,Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.0%
42,Eicher Motors Ltd.,Automobile,Equity,1.0%
43,GMM Pfaudler Ltd.,Capital Goods,Equity,1.0%
44,Marico Ltd.,Consumer Staples,Equity,1.0%
45,Balkrishna Industries Ltd.,Automobile,Equity,1.0%
46,State Bank of India,Financial,Equity,0.9%
47,Cipla Ltd.,Healthcare,Equity,0.8%
48,Trent Ltd.,Services,Equity,0.7%
49,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.7%
50,Blue Star Ltd.,Consumer Discretionary,Equity,0.6%
51,Housing Development Finance Corporation Ltd.,Financial,Equity,0.6%
52,Titan Company Ltd.,Consumer Discretionary,Equity,0.6%
53,JK Cement Ltd.,Construction,Equity,0.6%
54,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.5%
55,Dabur India Ltd.,Consumer Staples,Equity,0.5%
56,Mayur Uniquoters Ltd.,Textiles,Equity,0.5%
57,Abbott India Ltd.,Healthcare,Equity,0.5%
58,PI Industries Ltd.,Chemicals,Equity,0.5%
59,Max Healthcare Institute Ltd.,Healthcare,Equity,0.3%
60,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.3%
61,Polycab India Ltd.,Capital Goods,Equity,0.3%
