,Name,Sector,Instrument,Assets
0,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,3.1%
1,Cummins India Ltd.,Capital Goods,Equity,2.7%
2,Abbott India Ltd.,Healthcare,Equity,2.6%
3,Bosch Ltd.,Automobile,Equity,2.5%
4,Sundaram Finance Ltd.,Financial,Equity,2.5%
5,Emami Ltd.,Consumer Staples,Equity,2.2%
6,Indian Bank,Financial,Equity,2.2%
7,The Indian Hotels Company Ltd.,Services,Equity,2.2%
8,Ipca Laboratories Ltd.,Healthcare,Equity,2.0%
9,Crisil Ltd.,Services,Equity,2.0%
10,NTPC Ltd.,Energy,Equity,2.0%
11,The Ramco Cements Ltd.,Construction,Equity,1.9%
12,3M India Ltd.,Diversified,Equity,1.9%
13,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.9%
14,Blue Dart Express Ltd.,Services,Equity,1.8%
15,Godfrey Phillips India Ltd.,Consumer Staples,Equity,1.8%
16,Bayer CropScience Ltd.,Chemicals,Equity,1.7%
17,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.6%
18,Mphasis Ltd.,Technology,Equity,1.6%
19,Tata Communications Ltd.,Communication,Equity,1.5%
20,TVS Motor Company Ltd.,Automobile,Equity,1.5%
21,Max Healthcare Institute Ltd.,Healthcare,Equity,1.5%
22,Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.5%
23,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
24,Balkrishna Industries Ltd.,Automobile,Equity,1.4%
25,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.4%
26,AIA Engineering Ltd.,Metals & Mining,Equity,1.4%
27,HDFC Asset Management Company Ltd.,Financial,Equity,1.3%
28,Alkem Laboratories Ltd.,Healthcare,Equity,1.2%
29,Lupin Ltd.,Healthcare,Equity,1.2%
30,The Federal Bank Ltd.,Financial,Equity,1.2%
31,Voltas Ltd.,Consumer Discretionary,Equity,1.2%
32,Sundram Fasteners Ltd.,Capital Goods,Equity,1.2%
33,Max Financial Services Ltd.,Financial,Equity,1.2%
34,Trent Ltd.,Services,Equity,1.1%
35,Shree Cement Ltd.,Construction,Equity,1.1%
36,Coromandel International Ltd.,Chemicals,Equity,1.0%
37,Supreme Industries Ltd.,Chemicals,Equity,1.0%
38,Canara Bank,Financial,Equity,1.0%
39,Gujarat State Petronet Ltd.,Energy,Equity,1.0%
40,Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
41,Schaeffler India Ltd.,Capital Goods,Equity,1.0%
42,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.9%
43,Oil India Ltd.,Energy,Equity,0.9%
44,Birlasoft Ltd.,Technology,Equity,0.9%
45,Oberoi Realty Ltd.,Construction,Equity,0.9%
46,Ashok Leyland Ltd.,Automobile,Equity,0.9%
47,Power Finance Corporation Ltd.,Financial,Equity,0.9%
48,Aarti Industries Ltd.,Chemicals,Equity,0.8%
49,Pfizer Ltd.,Healthcare,Equity,0.8%
50,Torrent Power Ltd.,Energy,Equity,0.8%
51,Timken India Ltd.,Capital Goods,Equity,0.8%
52,Atul Ltd.,Chemicals,Equity,0.8%
53,Tube Investments Of India Ltd.,Automobile,Equity,0.7%
54,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.7%
55,Syngene International Ltd.,Healthcare,Equity,0.7%
56,H.G. Infra Engineering Ltd.,Construction,Equity,0.7%
57,Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,0.7%
58,Zydus Lifesciences Ltd.,Healthcare,Equity,0.7%
59,Manappuram Finance Ltd.,Financial,Equity,0.6%
60,Persistent Systems Ltd.,Technology,Equity,0.6%
61,Thermax Ltd.,Capital Goods,Equity,0.6%
62,Sonata Software Ltd.,Technology,Equity,0.6%
63,Gujarat Gas Ltd.,Energy,Equity,0.6%
64,Godrej Properties Ltd.,Construction,Equity,0.6%
65,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
66,Tech Mahindra Ltd.,Technology,Equity,0.5%
67,Eicher Motors Ltd.,Automobile,Equity,0.5%
68,Punjab National Bank,Financial,Equity,0.5%
69,Carborundum Universal Ltd.,Metals & Mining,Equity,0.5%
70,ABB India Ltd.,Capital Goods,Equity,0.5%
71,Castrol India Ltd.,Energy,Equity,0.5%
72,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.4%
73,PI Industries Ltd.,Chemicals,Equity,0.4%
74,Radico Khaitan Ltd.,Consumer Staples,Equity,0.4%
75,Dalmia Bharat Ltd.,Construction,Equity,0.4%
76,Polycab India Ltd.,Capital Goods,Equity,0.4%
77,Kajaria Ceramics Ltd.,Construction,Equity,0.4%
78,Zee Entertainment Enterprises Ltd.,Services,Equity,0.4%
79,General Insurance Corporation of India,Insurance,Equity,0.3%
80,Laurus Labs Ltd.,Healthcare,Equity,0.3%
81,United Breweries Ltd.,Consumer Staples,Equity,0.3%
82,Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.3%
83,Aegis Logistics Ltd.,Services,Equity,0.2%
84,Coforge Ltd.,Technology,Equity,0.2%
85,Mahindra Lifespace Developers Ltd.,Construction,Equity,0.2%
86,JK Cement Ltd.,Construction,Equity,0.2%
87,Aarti Pharmalabs Ltd.,Services,Equity,0.1%
