,Name,Sector,Instrument,Assets
0,Kei Industries Ltd.,Capital Goods,Equity,4.3%
1,Radico Khaitan Ltd.,Consumer Staples,Equity,4.2%
2,APL Apollo Tubes Ltd.,Metals & Mining,Equity,4.0%
3,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.9%
4,Dixon Technologies (India) Ltd.,Capital Goods,Equity,3.8%
5,Rainbow Childrens Medicare Ltd.,Healthcare,Equity,2.9%
6,JK Lakshmi Cement Ltd.,Construction,Equity,2.8%
7,Mahindra Logistics Ltd.,Services,Equity,2.7%
8,Multi Commodity Exchange Of India Ltd.,Services,Equity,2.6%
9,Carborundum Universal Ltd.,Metals & Mining,Equity,2.5%
10,CCL Products (India) Ltd.,Consumer Staples,Equity,2.5%
11,Brigade Enterprises Ltd.,Construction,Equity,2.5%
12,Neogen Chemicals Ltd.,Chemicals,Equity,2.5%
13,VIP Industries Ltd.,Chemicals,Equity,2.5%
14,CreditAccess Grameen Ltd.,Financial,Equity,2.4%
15,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,2.4%
16,PVR Ltd.,Services,Equity,2.4%
17,Laurus Labs Ltd.,Healthcare,Equity,2.3%
18,Navin Fluorine International Ltd.,Chemicals,Equity,2.3%
19,Lemon Tree Hotels Ltd.,Services,Equity,2.2%
20,Vinati Organics Ltd.,Chemicals,Equity,2.2%
21,Can Fin Homes Ltd.,Financial,Equity,2.1%
22,Camlin Fine Sciences Ltd.,Chemicals,Equity,2.1%
23,V-Mart Retail Ltd.,Services,Equity,2.0%
24,Coforge Ltd.,Technology,Equity,1.9%
25,Polycab India Ltd.,Capital Goods,Equity,1.9%
26,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.8%
27,Metropolis Healthcare Ltd.,Healthcare,Equity,1.7%
28,Arvind Ltd.,Textiles,Equity,1.6%
29,ACC Ltd.,Construction,Equity,1.6%
30,Infosys Ltd.,Technology,Equity,1.5%
31,Oberoi Realty Ltd.,Construction,Equity,1.5%
32,TCNS Clothing Co Ltd.,Textiles,Equity,1.5%
33,Apollo Tyres Ltd.,Automobile,Equity,1.4%
34,LatentView Analytics Ltd.,Technology,Equity,1.3%
35,PNC Infratech Ltd.,Construction,Equity,1.3%
36,KEC International Ltd.,Capital Goods,Equity,1.2%
37,Fine Organic Industries Ltd.,Chemicals,Equity,1.1%
38,Prudent Corporate Advisory Services Ltd.,Financial,Equity,1.1%
39,Somany Ceramics Ltd.,Construction,Equity,1.0%
40,TeamLease Services Ltd.,Services,Equity,1.0%
41,Chalet Hotels Ltd.,Services,Equity,0.9%
42,Birlasoft Ltd.,Technology,Equity,0.9%
43,Avanti Feeds Ltd.,Consumer Staples,Equity,0.9%
44,Narayana Hrudayalaya Ltd.,Healthcare,Equity,0.8%
45,RateGain Travel Technologies Ltd.,Technology,Equity,0.5%
46,Gateway Distriparks Ltd.,Services,Equity,0.5%
