,Name,Sector,Instrument,Assets
0,K.P.R. Mill Ltd.,Textiles,Equity,3.4%
1,Apar Industries Ltd.,Diversified,Equity,3.3%
2,Kei Industries Ltd.,Capital Goods,Equity,2.6%
3,JK Lakshmi Cement Ltd.,Construction,Equity,2.6%
4,Carborundum Universal Ltd.,Metals & Mining,Equity,2.5%
5,Indian Bank,Financial,Equity,2.5%
6,Grindwell Norton Ltd.,Metals & Mining,Equity,2.4%
7,Sonata Software Ltd.,Technology,Equity,2.4%
8,KPIT Technologies Ltd.,Technology,Equity,2.3%
9,Cera Sanitaryware Ltd.,Construction,Equity,2.3%
10,APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.2%
11,RHI Magnesita India Ltd.,Construction,Equity,2.2%
12,Brigade Enterprises Ltd.,Construction,Equity,2.1%
13,E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,2.0%
14,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.0%
15,Finolex Cables Ltd.,Capital Goods,Equity,1.9%
16,EIH Ltd.,Services,Equity,1.8%
17,Finolex Industries Ltd.,Chemicals,Equity,1.8%
18,Tube Investments Of India Ltd.,Automobile,Equity,1.8%
19,Mahindra Lifespace Developers Ltd.,Construction,Equity,1.7%
20,H.G. Infra Engineering Ltd.,Construction,Equity,1.5%
21,Supreme Petrochem Ltd.,Chemicals,Equity,1.4%
22,Polycab India Ltd.,Capital Goods,Equity,1.4%
23,GMM Pfaudler Ltd.,Capital Goods,Equity,1.4%
24,Persistent Systems Ltd.,Technology,Equity,1.4%
25,City Union Bank Ltd.,Financial,Equity,1.4%
26,Aegis Logistics Ltd.,Services,Equity,1.3%
27,Lakshmi Machine Works Ltd.,Capital Goods,Equity,1.2%
28,Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
29,Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
30,Karur Vysya Bank Ltd.,Financial,Equity,1.2%
31,Jamna Auto Industries Ltd.,Automobile,Equity,1.2%
32,Maharashtra Seamless Ltd.,Metals & Mining,Equity,1.1%
