,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.9%
1,ICICI Bank Ltd.,Financial,Equity,9.8%
2,Infosys Ltd.,Technology,Equity,7.9%
3,Axis Bank Ltd.,Financial,Equity,5.2%
4,State Bank of India,Financial,Equity,4.6%
5,Reliance Industries Ltd.,Energy,Equity,4.2%
6,Larsen & Toubro Ltd.,Construction,Equity,4.2%
7,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.1%
8,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.7%
9,Kei Industries Ltd.,Capital Goods,Equity,2.6%
10,DLF Ltd.,Construction,Equity,2.6%
11,Tata Consultancy Services Ltd.,Technology,Equity,2.5%
12,SBI Life Insurance Company Ltd.,Insurance,Equity,2.4%
13,Titan Company Ltd.,Consumer Discretionary,Equity,2.2%
14,PVR Ltd.,Services,Equity,2.0%
15,TVS Motor Company Ltd.,Automobile,Equity,1.8%
16,The Phoenix Mills Ltd.,Construction,Equity,1.8%
17,RateGain Travel Technologies Ltd.,Technology,Equity,1.8%
18,Prudent Corporate Advisory Services Ltd.,Financial,Equity,1.7%
19,Rainbow Children's Medicare Ltd.,Healthcare,Equity,1.6%
20,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.6%
21,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1.6%
22,Lupin Ltd.,Healthcare,Equity,1.5%
23,Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
24,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.5%
25,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.5%
26,United Breweries Ltd.,Consumer Staples,Equity,1.5%
27,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.4%
28,SRF Ltd.,Diversified,Equity,1.4%
29,PNC Infratech Ltd.,Construction,Equity,1.2%
30,PI Industries Ltd.,Chemicals,Equity,1.2%
31,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.1%
32,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.1%
33,Kajaria Ceramics Ltd.,Construction,Equity,1.1%
34,Container Corporation Of India Ltd.,Services,Equity,1.1%
35,AU Small Finance Bank Ltd.,Financial,Equity,1.1%
36,Housing Development Finance Corporation Ltd.,Financial,Equity,1.0%
37,Voltas Ltd.,Consumer Discretionary,Equity,1.0%
38,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.5%
39,KEC International Ltd.,Capital Goods,Equity,0.5%
