,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,17.0%
1,ICICI Bank Ltd.,Financial,Equity,16.8%
2,State Bank of India,Financial,Equity,8.7%
3,Axis Bank Ltd.,Financial,Equity,8.3%
4,SBI Life Insurance Company Ltd.,Insurance,Equity,5.3%
5,Kotak Mahindra Bank Ltd.,Financial,Equity,4.8%
6,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,4.1%
7,Housing Development Finance Corporation Ltd.,Financial,Equity,3.9%
8,SBI Cards And Payment Services Ltd.,Financial,Equity,3.3%
9,Muthoot Finance Ltd.,Financial,Equity,2.9%
10,Cholamandalam Financial Holdings Ltd.,Financial,Equity,2.6%
11,Indusind Bank Ltd.,Financial,Equity,2.4%
12,LIC Housing Finance Ltd.,Financial,Equity,2.0%
13,Max Financial Services Ltd.,Financial,Equity,1.7%
14,Karur Vysya Bank Ltd.,Financial,Equity,1.2%
15,Equitas Small Finance Bank Ltd.,Financial,Equity,1.2%
16,The Federal Bank Ltd.,Financial,Equity,1.1%
17,Bandhan Bank Ltd.,Financial,Equity,1.0%
18,Manappuram Finance Ltd.,Financial,Equity,0.9%
19,Housing Development Finance Corporation Ltd.,Financial,Warrant,0.9%
20,Bajaj Finance Ltd.,Financial,Equity,0.9%
21,CreditAccess Grameen Ltd.,Financial,Equity,0.7%
22,UTI Asset Management Company Ltd.,Financial,Equity,0.7%
23,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.6%
24,JM Financial Ltd.,Financial,Equity,0.6%
25,Reserve Bank of India,Financial,T-Bills,0.6%
26,DCB Bank Ltd.,Financial,Equity,0.5%
27,Sundaram Finance Ltd.,Financial,Equity,0.5%
28,Fusion Micro Finance Ltd.,Financial,Equity,0.5%
29,Anand Rathi Wealth Ltd.,Financial,Equity,0.4%
30,Angel One Ltd.,Financial,Equity,0.3%
31,HDFC Asset Management Company Ltd.,Financial,Equity,0.2%
