,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.7%
1,Reliance Industries Ltd.,Energy,Equity,8.1%
2,HDFC Bank Ltd.,Financial,Equity,6.7%
3,Larsen & Toubro Ltd.,Construction,Equity,6.6%
4,Infosys Ltd.,Technology,Equity,6.3%
5,Axis Bank Ltd.,Financial,Equity,5.5%
6,Bharti Airtel Ltd.,Communication,Equity,3.4%
7,Maruti Suzuki India Ltd.,Automobile,Equity,3.3%
8,Ultratech Cement Ltd.,Construction,Equity,3.3%
9,SBI Life Insurance Company Ltd.,Insurance,Equity,2.4%
10,ITC Ltd.,Consumer Staples,Equity,2.1%
11,Tech Mahindra Ltd.,Technology,Equity,1.7%
12,HCL Technologies Ltd.,Technology,Equity,1.6%
13,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
14,Housing Development Finance Corporation Ltd.,Financial,Equity,1.5%
15,NTPC Ltd.,Energy,Equity,1.5%
16,Hero Motocorp Ltd.,Automobile,Equity,1.4%
17,TVS Motor Company Ltd.,Automobile,Equity,1.3%
18,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.3%
19,Lupin Ltd.,Healthcare,Equity,1.2%
20,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.1%
21,Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
22,United Breweries Ltd.,Consumer Staples,Equity,1.0%
23,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
24,HDFC Asset Management Company Ltd.,Financial,Equity,1.0%
25,Avenue Supermarts Ltd.,Services,Equity,1.0%
26,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,0.9%
27,Kotak Mahindra Bank Ltd.,Financial,Equity,0.9%
28,State Bank of India,Financial,Equity,0.9%
29,Grasim Industries Ltd.,Construction,Equity,0.8%
30,Samvardhana Motherson International Ltd.,Automobile,Equity,0.7%
31,Wipro Ltd.,Technology,Equity,0.7%
32,DLF Ltd.,Construction,Equity,0.7%
33,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,0.6%
34,Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.5%
35,Zee Entertainment Enterprises Ltd.,Services,Equity,0.5%
36,Cummins India Ltd.,Capital Goods,Equity,0.4%
37,Siemens Ltd.,Capital Goods,Equity,0.4%
38,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.4%
39,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.3%
40,Mahindra & Mahindra Ltd.,Automobile,Equity,0.3%
41,Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,0.3%
42,Tata Consultancy Services Ltd.,Technology,Equity,0.3%
43,Titan Company Ltd.,Consumer Discretionary,Equity,0.3%
44,Trent Ltd.,Services,Equity,0.3%
45,Interglobe Aviation Ltd.,Services,Equity,0.3%
46,LIC Housing Finance Ltd.,Financial,Equity,0.3%
47,Vedanta Ltd.,Metals & Mining,Equity,0.3%
48,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.2%
49,GAIL (India) Ltd.,Energy,Equity,0.2%
50,Reserve Bank of India,Financial,T-Bills,0.2%
51,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.2%
52,Reserve Bank of India,Financial,T-Bills,0.2%
53,Ambuja Cements Ltd.,Construction,Equity,0.2%
54,Life Insurance Corporation of India,Insurance,Equity,0.2%
55,Max Financial Services Ltd.,Financial,Equity,0.2%
56,Muthoot Finance Ltd.,Financial,Equity,0.2%
57,Reserve Bank of India,Financial,T-Bills,0.2%
58,JM Financial Ltd.,Financial,Equity,0.2%
59,Alkem Laboratories Ltd.,Healthcare,Equity,0.2%
60,Biocon Ltd.,Healthcare,Equity,0.2%
61,Tata Steel Ltd.,Metals & Mining,Equity,0.1%
62,Bajaj Auto Ltd.,Automobile,Equity,0.1%
63,Cipla Ltd.,Healthcare,Equity,0.1%
64,Gujarat Pipavav Port Ltd.,Services,Equity,0.1%
