,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.9%
1,Reliance Industries Ltd.,Energy,Equity,7.8%
2,Larsen & Toubro Ltd.,Construction,Equity,6.5%
3,Axis Bank Ltd.,Financial,Equity,4.8%
4,Maruti Suzuki India Ltd.,Automobile,Equity,3.5%
5,Hero Motocorp Ltd.,Automobile,Equity,3.0%
6,Ultratech Cement Ltd.,Construction,Equity,2.6%
7,Wells Fargo,Financial,Forgn. Eq,2.6%
8,Tech Mahindra Ltd.,Technology,Equity,2.5%
9,Infosys Ltd.,Technology,Equity,2.5%
10,Bharti Airtel Ltd.,Communication,Equity,2.4%
11,Bharat Petroleum Corporation Ltd.,Energy,Equity,2.3%
12,Bank of America,Others,Forgn. Eq,2.2%
13,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,2.2%
14,SBI Life Insurance Company Ltd.,Insurance,Equity,2.2%
15,Lupin Ltd.,Healthcare,Equity,2.2%
16,Housing Development Finance Corporation Ltd.,Financial,Equity,2.0%
17,HDFC Bank Ltd.,Financial,Equity,2.0%
18,NTPC Ltd.,Energy,Equity,1.5%
19,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.5%
20,Cummins India Ltd.,Capital Goods,Equity,1.5%
21,Wipro Ltd.,Technology,Equity,1.3%
22,HDFC Asset Management Company Ltd.,Financial,Equity,1.3%
23,Gujarat Pipavav Port Ltd.,Services,Equity,1.2%
24,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.2%
25,DLF Ltd.,Construction,Equity,1.1%
26,Grasim Industries Ltd.,Construction,Equity,1.0%
27,Reserve Bank of India,Financial,T-Bills,1.0%
28,Samvardhana Motherson International Ltd.,Automobile,Equity,0.9%
29,Tata Consultancy Services Ltd.,Technology,Equity,0.8%
30,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.8%
31,LIC Housing Finance Ltd.,Financial,Equity,0.7%
32,HCL Technologies Ltd.,Technology,Equity,0.7%
33,Microsoft Corportion (US),Technology,Forgn. Eq,0.7%
34,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.7%
35,Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.6%
36,Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
37,Syngene International Ltd.,Healthcare,Equity,0.5%
38,City Union Bank Ltd.,Financial,Equity,0.5%
39,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.5%
40,Vodafone Group Plc (UK),Communication,Forgn. Eq,0.5%
41,Zee Entertainment Enterprises Ltd.,Services,Equity,0.5%
42,Muthoot Finance Ltd.,Financial,Equity,0.4%
43,Birla Corporation Ltd.,Construction,Equity,0.4%
44,UTI Asset Management Company Ltd.,Financial,Equity,0.4%
45,Bajaj Auto Ltd.,Automobile,Equity,0.4%
46,Avenue Supermarts Ltd.,Services,Equity,0.4%
47,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.4%
48,Reserve Bank of India,Financial,T-Bills,0.3%
49,TVS Motor Company Ltd.,Automobile,Equity,0.3%
50,Max Financial Services Ltd.,Financial,Equity,0.3%
51,Life Insurance Corporation of India,Insurance,Equity,0.3%
52,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.3%
53,State Bank of India,Financial,Equity,0.3%
54,Ashok Leyland Ltd.,Automobile,Equity,0.3%
55,Heidelberg Cement India Ltd.,Construction,Equity,0.2%
56,JM Financial Ltd.,Financial,Equity,0.2%
57,Oracle Financial Services Software Ltd.,Technology,Equity,0.2%
58,Apollo Tyres Ltd.,Automobile,Equity,0.2%
59,Nippon Life India Asset Management Ltd.,Financial,Equity,0.2%
60,Biocon Ltd.,Healthcare,Equity,0.2%
61,Firstsource Solutions Ltd.,Services,Equity,0.2%
62,Ambuja Cements Ltd.,Construction,Equity,0.2%
63,Siemens Ltd.,Capital Goods,Equity,0.1%
64,Trent Ltd.,Services,Equity,0.1%
65,Zensar Technologies Ltd.,Technology,Equity,0.1%
66,SJVN Ltd.,Energy,Equity,0.1%
