,Name,Sector,Instrument,Assets
0,Tata Steel Ltd.,Metals & Mining,Equity,8.6%
1,Ultratech Cement Ltd.,Construction,Equity,8.3%
2,JSW Steel Ltd.,Metals & Mining,Equity,8.2%
3,Jindal Stainless Ltd.,Metals & Mining,Equity,7.4%
4,Grasim Industries Ltd.,Construction,Equity,4.6%
5,Ambuja Cements Ltd.,Construction,Equity,4.1%
6,Bharat Petroleum Corporation Ltd.,Energy,Equity,3.9%
7,Hindalco Industries Ltd.,Metals & Mining,Equity,3.7%
8,Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.6%
9,UPL Ltd.,Chemicals,Equity,3.5%
10,NMDC Ltd.,Metals & Mining,Equity,3.4%
11,Gujarat Gas Ltd.,Energy,Equity,3.3%
12,Shree Cement Ltd.,Construction,Equity,3.2%
13,NMDC Steel Ltd.,Metals & Mining,Equity,3.2%
14,Steel Authority Of India Ltd.,Metals & Mining,Equity,3.1%
15,ACC Ltd.,Construction,Equity,3.0%
16,Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.6%
17,Orient Cement Ltd.,Construction,Equity,2.6%
18,Birla Corporation Ltd.,Construction,Equity,2.3%
19,JK Lakshmi Cement Ltd.,Construction,Equity,2.3%
20,Dalmia Bharat Ltd.,Construction,Equity,2.2%
21,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.9%
22,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.1%
23,Sudarshan Chemical Industries Ltd.,Chemicals,Equity,1.1%
24,Astec Lifesciences Ltd.,Chemicals,Equity,1.0%
25,RHI Magnesita India Ltd.,Construction,Equity,0.7%
26,Camlin Fine Sciences Ltd.,Chemicals,Equity,0.7%
27,Sumitomo Chemical India Ltd.,Chemicals,Equity,0.5%
28,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.5%
