,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.7%
1,Bharti Airtel Ltd.,Communication,Equity,4.5%
2,ICICI Bank Ltd.,Financial,Equity,4.2%
3,Infosys Ltd.,Technology,Equity,4.0%
4,Maruti Suzuki India Ltd.,Automobile,Equity,3.8%
5,Reliance Industries Ltd.,Energy,Equity,3.8%
6,NTPC Ltd.,Energy,Equity,3.7%
7,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.9%
8,TVS Motor Company Ltd.,Automobile,Equity,2.8%
9,The Federal Bank Ltd.,Financial,Equity,2.4%
10,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.4%
11,State Bank of India,Financial,Equity,2.2%
12,Axis Bank Ltd.,Financial,Equity,1.9%
13,HCL Technologies Ltd.,Technology,Equity,1.9%
14,Ashok Leyland Ltd.,Automobile,Equity,1.9%
15,Muthoot Finance Ltd.,Financial,Equity,1.7%
16,Sundaram Finance Ltd.,Financial,Equity,1.6%
17,SBI Cards And Payment Services Ltd.,Financial,Equity,1.6%
18,Larsen & Toubro Ltd.,Construction,Equity,1.6%
19,Housing Development Finance Corporation Ltd.,Financial,Equity,1.6%
20,LIC Housing Finance Ltd.,Financial,Equity,1.6%
21,Zee Entertainment Enterprises Ltd.,Services,Equity,1.6%
22,United Breweries Ltd.,Consumer Staples,Equity,1.6%
23,Lupin Ltd.,Healthcare,Equity,1.5%
24,Alkem Laboratories Ltd.,Healthcare,Equity,1.5%
25,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.3%
26,Container Corporation Of India Ltd.,Services,Equity,1.2%
27,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.2%
28,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.1%
29,Cummins India Ltd.,Capital Goods,Equity,1.0%
30,Interglobe Aviation Ltd.,Services,Equity,1.0%
31,Bharat Forge Ltd.,Automobile,Equity,1.0%
32,Ipca Laboratories Ltd.,Healthcare,Equity,1.0%
33,Gland Pharma Ltd.,Healthcare,Equity,1.0%
34,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
35,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
36,Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
37,Samvardhana Motherson International Ltd.,Automobile,Equity,0.9%
38,Hero Motocorp Ltd.,Automobile,Equity,0.9%
39,Biocon Ltd.,Healthcare,Equity,0.8%
40,Gujarat Gas Ltd.,Energy,Equity,0.8%
41,SBI Life Insurance Company Ltd.,Insurance,Equity,0.7%
42,NCC Ltd.,Construction,Equity,0.7%
43,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.7%
44,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.7%
45,Endurance Technologies Ltd.,Automobile,Equity,0.6%
46,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,0.6%
47,Reserve Bank of India,Financial,T-Bills,0.5%
48,EPL Ltd.,Chemicals,Equity,0.5%
49,HDFC Asset Management Company Ltd.,Financial,Equity,0.5%
50,The Ramco Cements Ltd.,Construction,Equity,0.5%
51,Steel Authority Of India Ltd.,Metals & Mining,Equity,0.5%
52,Mahindra & Mahindra Ltd.,Automobile,Equity,0.5%
53,Kotak Mahindra Bank Ltd.,Financial,Equity,0.5%
54,Reserve Bank of India,Financial,T-Bills,0.5%
55,Life Insurance Corporation of India,Insurance,Equity,0.5%
56,Info Edge (India) Ltd.,Services,Equity,0.5%
57,Voltas Ltd.,Consumer Discretionary,Equity,0.5%
58,Oil India Ltd.,Energy,Equity,0.5%
59,Oberoi Realty Ltd.,Construction,Equity,0.5%
60,NHPC Ltd.,Energy,Equity,0.4%
61,Suprajit Engineering Ltd.,Automobile,Equity,0.4%
62,Wipro Ltd.,Technology,Equity,0.4%
63,Max Financial Services Ltd.,Financial,Equity,0.4%
64,Oracle Financial Services Software Ltd.,Technology,Equity,0.4%
65,Avanti Feeds Ltd.,Consumer Staples,Equity,0.4%
66,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.4%
67,Ajanta Pharma Ltd.,Healthcare,Equity,0.4%
68,Zydus Wellness Ltd.,Consumer Staples,Equity,0.4%
69,Zensar Technologies Ltd.,Technology,Equity,0.3%
70,Mphasis Ltd.,Technology,Equity,0.3%
71,Birla Corporation Ltd.,Construction,Equity,0.3%
72,Balkrishna Industries Ltd.,Automobile,Equity,0.3%
73,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.2%
74,Delhivery Ltd.,Services,Equity,0.2%
75,Tech Mahindra Ltd.,Technology,Equity,0.2%
76,ACC Ltd.,Construction,Equity,0.2%
77,Housing Development Finance Corporation Ltd.,Financial,Warrant,0.2%
78,Indiamart Intermesh Ltd.,Services,Equity,0.1%
