,Name,Sector,Instrument,Assets
0,Tata Consultancy Services Ltd.,Technology,Equity,7.0%
1,Infosys Ltd.,Technology,Equity,6.0%
2,ICICI Bank Ltd.,Financial,Equity,5.2%
3,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,4.1%
4,Muthoot Finance Ltd.,Financial,Equity,3.7%
5,Housing Development Finance Corporation Ltd.,Financial,Equity,3.7%
6,Bharti Airtel Ltd.,Communication,Equity,3.5%
7,HCL Technologies Ltd.,Technology,Equity,3.3%
8,Britannia Industries Ltd.,Consumer Staples,Equity,3.1%
9,Shree Cement Ltd.,Construction,Equity,2.9%
10,Axis Bank Ltd.,Financial,Equity,2.8%
11,ITC Ltd.,Consumer Staples,Equity,2.8%
12,Abbott India Ltd.,Healthcare,Equity,2.6%
13,Reliance Industries Ltd.,Energy,Equity,2.6%
14,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,2.5%
15,Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,2.5%
16,Coal India Ltd.,Energy,Equity,2.2%
17,SBI Cards And Payment Services Ltd.,Financial,Equity,2.2%
18,JSW Steel Ltd.,Metals & Mining,Equity,2.1%
19,Kotak Mahindra Bank Ltd.,Financial,Equity,2.1%
20,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.1%
21,Ashok Leyland Ltd.,Automobile,Equity,2.0%
22,Deepak Nitrite Ltd.,Chemicals,Equity,1.9%
23,Bandhan Bank Ltd.,Financial,Equity,1.9%
24,HDFC Asset Management Company Ltd.,Financial,Equity,1.9%
25,UPL Ltd.,Chemicals,Equity,1.8%
26,Petronet LNG Ltd.,Energy,Equity,1.7%
27,Marico Ltd.,Consumer Staples,Equity,1.7%
28,Persistent Systems Ltd.,Technology,Equity,1.6%
29,Tata Communications Ltd.,Communication,Equity,1.6%
30,Mphasis Ltd.,Technology,Equity,1.6%
31,LIC Housing Finance Ltd.,Financial,Equity,1.5%
32,Bata India Ltd.,Consumer Staples,Equity,1.5%
33,Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
34,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.2%
35,Page Industries Ltd.,Textiles,Equity,1.0%
36,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
37,Supreme Industries Ltd.,Chemicals,Equity,0.6%
38,Steel Authority Of India Ltd.,Metals & Mining,Equity,0.5%
