,Name,Sector,Instrument,Assets
0,Cyient Ltd.,Technology,Equity,4.2%
1,PVR Ltd.,Services,Equity,3.9%
2,Rolex Rings Ltd,Capital Goods,Equity,3.7%
3,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,3.5%
4,EPL Ltd.,Chemicals,Equity,3.2%
5,CCL Products (India) Ltd.,Consumer Staples,Equity,3.0%
6,Kei Industries Ltd.,Capital Goods,Equity,2.9%
7,Multi Commodity Exchange Of India Ltd.,Services,Equity,2.8%
8,Tarsons Products Ltd.,Healthcare,Equity,2.5%
9,Arvind Fashions Ltd.,Textiles,Equity,2.3%
10,PNC Infratech Ltd.,Construction,Equity,2.2%
11,Blue Star Ltd.,Consumer Discretionary,Equity,2.2%
12,Sapphire Foods India Ltd.,Services,Equity,2.2%
13,VRL Logistics Ltd.,Services,Equity,2.1%
14,Mahindra Lifespace Developers Ltd.,Construction,Equity,2.1%
15,Mold-Tek Packaging Ltd.,Chemicals,Equity,2.1%
16,Jamna Auto Industries Ltd.,Automobile,Equity,2.1%
17,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
18,V-Mart Retail Ltd.,Services,Equity,2.0%
19,Brigade Enterprises Ltd.,Construction,Equity,2.0%
20,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.9%
21,SBI Cards And Payment Services Ltd.,Financial,Equity,1.8%
22,Birlasoft Ltd.,Technology,Equity,1.7%
23,Sundram Fasteners Ltd.,Capital Goods,Equity,1.6%
24,Aster DM Healthcare Ltd.,Healthcare,Equity,1.6%
25,Syngene International Ltd.,Healthcare,Equity,1.6%
26,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.6%
27,Archean Chemical Industries Ltd.,Chemicals,Equity,1.5%
28,Gateway Distriparks Ltd.,Services,Equity,1.5%
29,CMS Info Systems Ltd.,Services,Equity,1.5%
30,Jyothy Labs Ltd.,Consumer Staples,Equity,1.4%
31,Sudarshan Chemical Industries Ltd.,Chemicals,Equity,1.4%
32,Camlin Fine Sciences Ltd.,Chemicals,Equity,1.3%
33,Birla Corporation Ltd.,Construction,Equity,1.2%
34,Indoco Remedies Ltd.,Healthcare,Equity,1.2%
35,Go Fashion (India) Ltd.,Services,Equity,1.1%
36,Orient Electric Ltd.,Consumer Discretionary,Equity,1.1%
37,UNO Minda Ltd.,Automobile,Equity,1.1%
38,Finolex Cables Ltd.,Capital Goods,Equity,1.0%
39,V.S.T. Tillers Tractors Ltd.,Automobile,Equity,1.0%
40,Equitas Small Finance Bank Ltd.,Financial,Equity,1.0%
41,Barbeque-Nation Hospitality Ltd.,Services,Equity,0.9%
42,Astec Lifesciences Ltd.,Chemicals,Equity,0.9%
43,Divgi TorqTransfer Systems Ltd.,Automobile,Equity,0.9%
44,DCB Bank Ltd.,Financial,Equity,0.9%
45,Gujarat Pipavav Port Ltd.,Services,Equity,0.9%
46,EIH Ltd.,Services,Equity,0.8%
47,Tracxn Technologies Ltd.,Technology,Equity,0.6%
48,Windlas Biotech Ltd.,Healthcare,Equity,0.5%
49,Matrimony.Com Ltd.,Services,Equity,0.5%
50,Global Health Ltd.,Healthcare,Equity,0.5%
51,Krsnaa Diagnostics Ltd.,Healthcare,Equity,0.5%
52,TeamLease Services Ltd.,Services,Equity,0.4%
53,S.P. Apparels Ltd.,Textiles,Equity,0.4%
54,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.4%
55,Home First Finance Company India Ltd.,Financial,Equity,0.2%
