,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,28.9%
1,Tata Consultancy Services Ltd.,Technology,Equity,17.4%
2,Bharti Airtel Ltd.,Communication,Equity,8.8%
3,HCL Technologies Ltd.,Technology,Equity,8.1%
4,Tech Mahindra Ltd.,Technology,Equity,6.1%
5,Wipro Ltd.,Technology,Equity,3.6%
6,LTIMindtree Ltd.,Technology,Equity,2.2%
7,Reliance Industries Ltd.,Energy,Equity,1.5%
8,Zee Entertainment Enterprises Ltd.,Services,Equity,1.4%
9,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.2%
10,Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,1.2%
11,Accenture PLC,Others,Forgn. Eq,1.0%
12,Reserve Bank of India,Financial,T-Bills,1.0%
13,Persistent Systems Ltd.,Technology,Equity,1.0%
14,PVR Ltd.,Services,Equity,0.9%
15,Info Edge (India) Ltd.,Services,Equity,0.9%
16,Coforge Ltd.,Technology,Equity,0.8%
17,Zensar Technologies Ltd.,Technology,Equity,0.7%
18,Birlasoft Ltd.,Technology,Equity,0.7%
19,Mphasis Ltd.,Technology,Equity,0.6%
20,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.6%
21,Oracle Financial Services Software Ltd.,Technology,Equity,0.5%
22,Indiamart Intermesh Ltd.,Services,Equity,0.5%
23,L&T Technology Services Ltd.,Technology,Equity,0.5%
24,Cyient Ltd.,Technology,Equity,0.5%
25,Zomato Ltd.,Services,Equity,0.5%
26,Microsoft Corportion (US),Technology,Forgn. Eq,0.5%
27,TeamLease Services Ltd.,Services,Equity,0.5%
28,Firstsource Solutions Ltd.,Services,Equity,0.5%
29,Siemens Ltd.,Capital Goods,Equity,0.4%
30,FSN E-Commerce Ventures Ltd.,Services,Equity,0.4%
31,Sun TV Network Ltd.,Services,Equity,0.4%
32,eClerx Services Ltd.,Services,Equity,0.4%
33,Facebook Co,Services,Forgn. Eq,0.3%
34,Tata Communications Ltd.,Communication,Equity,0.3%
35,Hitachi Energy India Ltd.,Capital Goods,Equity,0.3%
36,RateGain Travel Technologies Ltd.,Technology,Equity,0.3%
37,Mastek Ltd.,Technology,Equity,0.3%
38,Affle (India) Ltd.,Technology,Equity,0.3%
39,Railtel Corporation Of India Ltd.,Communication,Equity,0.2%
40,CarTrade Tech Ltd.,Services,Equity,0.2%
41,Delhivery Ltd.,Services,Equity,0.2%
42,Adobe Systems Inc. (USA),Technology,Forgn. Eq,0.2%
43,NIIT Ltd.,Technology,Equity,0.1%
44,Salesforce Com.,Technology,Forgn. Eq,0.1%
45,SAP SE,Technology,ADS/ADR,0.1%
46,Route Mobile Ltd.,Technology,Equity,0.1%
