,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,20.5%
1,ICICI Bank Ltd.,Financial,Equity,18.2%
2,Housing Development Finance Corporation Ltd.,Financial,Equity,10.4%
3,Axis Bank Ltd.,Financial,Equity,8.9%
4,State Bank of India,Financial,Equity,7.2%
5,Bajaj Finance Ltd.,Financial,Equity,6.7%
6,Kotak Mahindra Bank Ltd.,Financial,Equity,5.7%
7,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,4.7%
8,Can Fin Homes Ltd.,Financial,Equity,2.5%
9,The Federal Bank Ltd.,Financial,Equity,2.5%
10,Bajaj Finserv Ltd.,Financial,Equity,2.4%
11,Bank Of Baroda,Financial,Equity,2.1%
12,HDFC Life Insurance Co Ltd.,Insurance,Equity,1.5%
13,Max Financial Services Ltd.,Financial,Equity,1.1%
14,AU Small Finance Bank Ltd.,Financial,Equity,1.1%
15,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.8%
16,SBI Cards And Payment Services Ltd.,Financial,Equity,0.8%
17,City Union Bank Ltd.,Financial,Equity,0.6%
18,HDFC Asset Management Company Ltd.,Financial,Equity,0.5%
