,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,8.8%
1,ICICI Bank Ltd.,Financial,Equity,8.3%
2,ABB India Ltd.,Capital Goods,Equity,5.3%
3,State Bank of India,Financial,Equity,5.1%
4,Infosys Ltd.,Technology,Equity,5.0%
5,Axis Bank Ltd.,Financial,Equity,4.0%
6,Reliance Industries Ltd.,Energy,Equity,4.0%
7,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.9%
8,HCL Technologies Ltd.,Technology,Equity,3.5%
9,Larsen & Toubro Ltd.,Construction,Equity,3.4%
10,PI Industries Ltd.,Chemicals,Equity,2.6%
11,Page Industries Ltd.,Textiles,Equity,2.6%
12,Ultratech Cement Ltd.,Construction,Equity,2.5%
13,Bharat Forge Ltd.,Automobile,Equity,2.3%
14,SRF Ltd.,Diversified,Equity,2.3%
15,Housing Development Finance Corporation Ltd.,Financial,Equity,2.3%
16,Nestle India Ltd.,Consumer Staples,Equity,2.3%
17,Mphasis Ltd.,Technology,Equity,1.9%
18,Thermax Ltd.,Capital Goods,Equity,1.9%
19,LTIMindtree Ltd.,Technology,Equity,1.8%
20,Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.8%
21,Kotak Mahindra Bank Ltd.,Financial,Equity,1.8%
22,Grasim Industries Ltd.,Construction,Equity,1.8%
23,Indusind Bank Ltd.,Financial,Equity,1.7%
24,Eicher Motors Ltd.,Automobile,Equity,1.6%
25,Shree Cement Ltd.,Construction,Equity,1.6%
26,Asian Paints Ltd.,Chemicals,Equity,1.5%
27,Coromandel International Ltd.,Chemicals,Equity,1.3%
28,Polycab India Ltd.,Capital Goods,Equity,1.2%
29,Cipla Ltd.,Healthcare,Equity,1.2%
30,Voltas Ltd.,Consumer Discretionary,Equity,1.2%
31,Tata Steel Ltd.,Metals & Mining,Equity,1.1%
32,NCC Ltd.,Construction,Equity,1.1%
33,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.1%
34,Bharti Airtel Ltd.,Communication,Equity,1.0%
35,Honeywell Automation India Ltd.,Capital Goods,Equity,0.9%
36,Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.9%
37,Bharat Petroleum Corporation Ltd.,Energy,Equity,0.8%
38,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.5%
39,Dalmia Bharat Ltd.,Construction,Equity,0.4%
40,Sunteck Realty Ltd.,Construction,Equity,0.3%
