,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.4%
1,HDFC Bank Ltd.,Financial,Equity,8.9%
2,Reliance Industries Ltd.,Energy,Equity,7.9%
3,Infosys Ltd.,Technology,Equity,7.2%
4,Tata Consultancy Services Ltd.,Technology,Equity,7.1%
5,Larsen & Toubro Ltd.,Construction,Equity,5.4%
6,Housing Development Finance Corporation Ltd.,Financial,Equity,4.9%
7,Maruti Suzuki India Ltd.,Automobile,Equity,4.1%
8,Kotak Mahindra Bank Ltd.,Financial,Equity,3.9%
9,JK Lakshmi Cement Ltd.,Construction,Equity,3.8%
10,Titan Company Ltd.,Consumer Discretionary,Equity,3.5%
11,Bajaj Finance Ltd.,Financial,Equity,3.3%
12,Blue Star Ltd.,Consumer Discretionary,Equity,3.2%
13,Siemens Ltd.,Capital Goods,Equity,2.9%
14,Bharti Airtel Ltd.,Communication,Equity,2.7%
15,Avenue Supermarts Ltd.,Services,Equity,2.3%
16,Mahindra & Mahindra Ltd.,Automobile,Equity,2.3%
17,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.1%
18,Asian Paints Ltd.,Chemicals,Equity,2.0%
19,State Bank of India,Financial,Equity,2.0%
20,ITC Ltd.,Consumer Staples,Equity,1.7%
21,Cipla Ltd.,Healthcare,Equity,1.6%
22,Mphasis Ltd.,Technology,Equity,1.5%
23,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.2%
24,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.1%
25,Divi's Laboratories Ltd.,Healthcare,Equity,1.1%
26,DLF Ltd.,Construction,Equity,1.0%
