,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.0%
1,HDFC Bank Ltd.,Financial,Equity,6.7%
2,Infosys Ltd.,Technology,Equity,5.8%
3,State Bank of India,Financial,Equity,5.8%
4,Reliance Industries Ltd.,Energy,Equity,5.7%
5,Varun Beverages Ltd.,Consumer Staples,Equity,3.5%
6,Bank Of Baroda,Financial,Equity,3.3%
7,Persistent Systems Ltd.,Technology,Equity,3.3%
8,Mahindra & Mahindra Ltd.,Automobile,Equity,3.0%
9,Housing Development Finance Corporation Ltd.,Financial,Equity,3.0%
10,Bharat Forge Ltd.,Automobile,Equity,2.7%
11,Bharti Airtel Ltd.,Communication,Equity,2.7%
12,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.6%
13,Axis Bank Ltd.,Financial,Equity,2.5%
14,Maruti Suzuki India Ltd.,Automobile,Equity,2.3%
15,Supreme Industries Ltd.,Chemicals,Equity,2.1%
16,Ashok Leyland Ltd.,Automobile,Equity,2.1%
17,KNR Constructions Ltd.,Construction,Equity,2.0%
18,Hindalco Industries Ltd.,Metals & Mining,Equity,2.0%
19,Coforge Ltd.,Technology,Equity,1.8%
20,Container Corporation Of India Ltd.,Services,Equity,1.8%
21,Ultratech Cement Ltd.,Construction,Equity,1.7%
22,HDFC Life Insurance Co Ltd.,Insurance,Equity,1.6%
23,Bajaj Finance Ltd.,Financial,Equity,1.6%
24,PVR Ltd.,Services,Equity,1.6%
25,HCL Technologies Ltd.,Technology,Equity,1.6%
26,Vinati Organics Ltd.,Chemicals,Equity,1.6%
27,Voltas Ltd.,Consumer Discretionary,Equity,1.4%
28,PI Industries Ltd.,Chemicals,Equity,1.4%
29,United Spirits Ltd.,Consumer Staples,Equity,1.3%
30,MRF Ltd.,Automobile,Equity,1.2%
31,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
32,Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.1%
33,Tata Steel Ltd.,Metals & Mining,Equity,1.1%
34,Havells India Ltd.,Capital Goods,Equity,1.1%
35,Oberoi Realty Ltd.,Construction,Equity,1.1%
36,Kotak Mahindra Bank Ltd.,Financial,Equity,1.0%
37,Asian Paints Ltd.,Chemicals,Equity,0.8%
38,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.8%
39,Honeywell Automation India Ltd.,Capital Goods,Equity,0.8%
40,Gujarat Gas Ltd.,Energy,Equity,0.8%
41,Max Healthcare Institute Ltd.,Healthcare,Equity,0.7%
42,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.7%
43,Ambuja Cements Ltd.,Construction,Equity,0.3%
44,TruCap Finance Ltd.,Financial,Equity,0.1%
