,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,10.3%
1,HDFC Bank Ltd.,Financial,Equity,9.3%
2,ICICI Bank Ltd.,Financial,Equity,8.0%
3,Infosys Ltd.,Technology,Equity,6.7%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,6.2%
5,ITC Ltd.,Consumer Staples,Equity,4.4%
6,Tata Consultancy Services Ltd.,Technology,Equity,4.3%
7,Larsen & Toubro Ltd.,Construction,Equity,3.4%
8,Kotak Mahindra Bank Ltd.,Financial,Equity,3.3%
9,Axis Bank Ltd.,Financial,Equity,3.1%
10,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.0%
11,State Bank of India,Financial,Equity,2.6%
12,Bharti Airtel Ltd.,Communication,Equity,2.4%
13,Bajaj Finance Ltd.,Financial,Equity,2.0%
14,Asian Paints Ltd.,Chemicals,Equity,1.6%
15,HCL Technologies Ltd.,Technology,Equity,1.5%
16,Maruti Suzuki India Ltd.,Automobile,Equity,1.4%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.4%
18,Titan Company Ltd.,Consumer Discretionary,Equity,1.4%
19,Mahindra & Mahindra Ltd.,Automobile,Equity,1.4%
20,Ultratech Cement Ltd.,Construction,Equity,1.2%
21,Tata Steel Ltd.,Metals & Mining,Equity,1.1%
22,NTPC Ltd.,Energy,Equity,1.1%
23,Power Grid Corporation Of India Ltd.,Energy,Equity,1.0%
24,Tata Motors Ltd.,Automobile,Equity,1.0%
25,Nestle India Ltd.,Consumer Staples,Equity,0.9%
26,Indusind Bank Ltd.,Financial,Equity,0.9%
27,Tech Mahindra Ltd.,Technology,Equity,0.9%
28,Bajaj Finserv Ltd.,Financial,Equity,0.9%
29,JSW Steel Ltd.,Metals & Mining,Equity,0.8%
30,Grasim Industries Ltd.,Construction,Equity,0.8%
31,Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
32,Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.8%
33,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.7%
34,Wipro Ltd.,Technology,Equity,0.7%
35,Britannia Industries Ltd.,Consumer Staples,Equity,0.7%
36,SBI Life Insurance Company Ltd.,Insurance,Equity,0.6%
37,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.6%
38,Adani Enterprises Ltd.,Services,Equity,0.6%
39,Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.6%
40,Cipla Ltd.,Healthcare,Equity,0.6%
41,Coal India Ltd.,Energy,Equity,0.6%
42,Bajaj Auto Ltd.,Automobile,Equity,0.6%
43,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.6%
44,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.6%
45,Eicher Motors Ltd.,Automobile,Equity,0.5%
46,UPL Ltd.,Chemicals,Equity,0.5%
47,Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
48,Bharat Petroleum Corporation Ltd.,Energy,Equity,0.4%
49,Hero Motocorp Ltd.,Automobile,Equity,0.4%
