,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.3%
1,HDFC Bank Ltd.,Financial,Equity,9.1%
2,Infosys Ltd.,Technology,Equity,7.0%
3,Axis Bank Ltd.,Financial,Equity,5.5%
4,Larsen & Toubro Ltd.,Construction,Equity,4.9%
5,Bharti Airtel Ltd.,Communication,Equity,4.3%
6,Data Patterns (India) Ltd.,Capital Goods,Equity,3.2%
7,Tata Motors Ltd.,Automobile,Equity,3.2%
8,Cummins India Ltd.,Capital Goods,Equity,3.2%
9,State Bank of India,Financial,Equity,3.1%
10,APL Apollo Tubes Ltd.,Metals & Mining,Equity,3.1%
11,NTPC Ltd.,Energy,Equity,3.0%
12,CCL Products (India) Ltd.,Consumer Staples,Equity,3.0%
13,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.9%
14,SRF Ltd.,Diversified,Equity,2.8%
15,Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.7%
16,LTIMindtree Ltd.,Technology,Equity,2.7%
17,Cyient Ltd.,Technology,Equity,2.5%
18,Motherson Sumi Wiring India Ltd.,Automobile,Equity,2.4%
19,VIP Industries Ltd.,Chemicals,Equity,2.1%
20,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.1%
21,Max Healthcare Institute Ltd.,Healthcare,Equity,1.9%
22,Coal India Ltd.,Energy,Equity,1.9%
23,Aavas Financiers Ltd.,Financial,Equity,1.8%
24,Sumitomo Chemical India Ltd.,Chemicals,Equity,1.6%
25,NMDC Ltd.,Metals & Mining,Equity,1.5%
26,Bajaj Auto Ltd.,Automobile,Equity,1.3%
27,Divi's Laboratories Ltd.,Healthcare,Equity,1.2%
28,Sansera Engineering Ltd.,Automobile,Equity,1.2%
29,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
