,Name,Sector,Instrument,Assets
0,Persistent Systems Ltd.,Technology,Equity,4.0%
1,Cummins India Ltd.,Capital Goods,Equity,3.9%
2,Godrej Consumer Products Ltd.,Consumer Staples,Equity,3.7%
3,Britannia Industries Ltd.,Consumer Staples,Equity,3.7%
4,REC Ltd.,Financial,Equity,3.6%
5,ITC Ltd.,Consumer Staples,Equity,3.5%
6,Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.5%
7,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.4%
8,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.2%
9,Yes Bank Ltd.,Financial,Equity,3.1%
10,SRF Ltd.,Diversified,Equity,3.0%
11,TVS Motor Company Ltd.,Automobile,Equity,3.0%
12,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,3.0%
13,Endurance Technologies Ltd.,Automobile,Equity,2.9%
14,Coromandel International Ltd.,Chemicals,Equity,2.9%
15,Bharat Electronics Ltd.,Capital Goods,Equity,2.9%
16,Pidilite Industries Ltd.,Chemicals,Equity,2.9%
17,SBI Cards And Payment Services Ltd.,Financial,Equity,2.9%
18,Asian Paints Ltd.,Chemicals,Equity,2.8%
19,SBI Life Insurance Company Ltd.,Insurance,Equity,2.8%
20,Coal India Ltd.,Energy,Equity,2.8%
21,Havells India Ltd.,Capital Goods,Equity,2.8%
22,Tata Elxsi Ltd.,Technology,Equity,2.7%
23,Power Grid Corporation Of India Ltd.,Energy,Equity,2.7%
24,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,2.6%
25,LIC Housing Finance Ltd.,Financial,Equity,2.6%
26,Bajaj Finance Ltd.,Financial,Equity,2.5%
27,Eicher Motors Ltd.,Automobile,Equity,2.5%
28,Page Industries Ltd.,Textiles,Equity,2.4%
29,Petronet LNG Ltd.,Energy,Equity,2.4%
30,Bajaj Finserv Ltd.,Financial,Equity,2.4%
31,Nestle India Ltd.,Consumer Staples,Equity,2.2%
32,Titan Company Ltd.,Consumer Discretionary,Equity,1.8%
33,PI Industries Ltd.,Chemicals,Equity,1.1%
34,LTIMindtree Ltd.,Technology,Equity,0.8%
35,Adani Total Gas Ltd.,Energy,Equity,0.8%
