,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,20.5%
1,ICICI Bank Ltd.,Financial,Equity,20.4%
2,Housing Development Finance Corporation Ltd.,Financial,Equity,10.8%
3,Kotak Mahindra Bank Ltd.,Financial,Equity,7.9%
4,Axis Bank Ltd.,Financial,Equity,7.6%
5,State Bank of India,Financial,Equity,7.3%
6,Bajaj Finance Ltd.,Financial,Equity,2.5%
7,SBI Life Insurance Company Ltd.,Insurance,Equity,2.3%
8,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.6%
9,Bank Of Baroda,Financial,Equity,1.5%
10,Karur Vysya Bank Ltd.,Financial,Equity,1.4%
11,The Federal Bank Ltd.,Financial,Equity,1.4%
12,Indusind Bank Ltd.,Financial,Equity,1.4%
13,Bajaj Finserv Ltd.,Financial,Equity,1.2%
14,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.1%
15,Power Finance Corporation Ltd.,Financial,Equity,1.1%
16,DCB Bank Ltd.,Financial,Equity,1.1%
17,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.1%
18,Indian Bank,Financial,Equity,1.0%
19,Can Fin Homes Ltd.,Financial,Equity,1.0%
20,The Karnataka Bank Ltd.,Financial,Equity,1.0%
21,RBL Bank Ltd.,Financial,Equity,0.9%
22,Max Financial Services Ltd.,Financial,Equity,0.8%
23,UTI Asset Management Company Ltd.,Financial,Equity,0.8%
