,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,3.8%
1,Reliance Industries Ltd.,Energy,Equity,3.5%
2,ICICI Bank Ltd.,Financial,Equity,3.5%
3,Infosys Ltd.,Technology,Equity,2.7%
4,ITC Ltd.,Consumer Staples,Equity,2.7%
5,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2.5%
6,KPIT Technologies Ltd.,Technology,Equity,2.2%
7,Jindal Stainless Ltd.,Metals & Mining,Equity,1.6%
8,Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
9,Housing Development Finance Corporation Ltd.,Financial,Equity,1.5%
10,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.5%
11,Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
12,Tata Consultancy Services Ltd.,Technology,Equity,1.5%
13,State Bank of India,Financial,Equity,1.5%
14,Bharat Dynamics Ltd.,Capital Goods,Equity,1.4%
15,NTPC Ltd.,Energy,Equity,1.4%
16,Larsen & Toubro Ltd.,Construction,Equity,1.4%
17,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.3%
18,Karur Vysya Bank Ltd.,Financial,Equity,1.3%
19,Bharti Airtel Ltd.,Communication,Equity,1.3%
20,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
21,Axis Bank Ltd.,Financial,Equity,1.2%
22,Bank Of Baroda,Financial,Equity,1.2%
23,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.2%
24,AIA Engineering Ltd.,Metals & Mining,Equity,1.1%
25,Lupin Ltd.,Healthcare,Equity,1.1%
26,DCB Bank Ltd.,Financial,Equity,1.1%
27,Siemens Ltd.,Capital Goods,Equity,1.1%
28,Titan Company Ltd.,Consumer Discretionary,Equity,1.1%
29,Bosch Ltd.,Automobile,Equity,1.1%
30,Timken India Ltd.,Capital Goods,Equity,1.1%
31,Power Finance Corporation Ltd.,Financial,Equity,1.1%
32,Cera Sanitaryware Ltd.,Construction,Equity,1.1%
33,TVS Motor Company Ltd.,Automobile,Equity,1.1%
34,Asahi India Glass Ltd.,Construction,Equity,1.1%
35,Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
36,Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.1%
37,Indian Bank,Financial,Equity,1.1%
38,The Indian Hotels Company Ltd.,Services,Equity,1.0%
39,Data Patterns (India) Ltd.,Capital Goods,Equity,1.0%
40,Cummins India Ltd.,Capital Goods,Equity,1.0%
41,The Federal Bank Ltd.,Financial,Equity,1.0%
42,Aster DM Healthcare Ltd.,Healthcare,Equity,1.0%
43,Solar Industries India Ltd.,Chemicals,Equity,1.0%
44,CCL Products (India) Ltd.,Consumer Staples,Equity,1.0%
45,Ultratech Cement Ltd.,Construction,Equity,1.0%
46,NLC India Ltd.,Energy,Equity,1.0%
47,Syrma SGS Technology Ltd.,Capital Goods,Equity,1.0%
48,La Opala RG Ltd.,Construction,Equity,1.0%
49,Ambuja Cements Ltd.,Construction,Equity,1.0%
50,Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.0%
51,PI Industries Ltd.,Chemicals,Equity,0.9%
52,Canara Bank,Financial,Equity,0.9%
53,IDFC Ltd.,Financial,Equity,0.9%
54,JTL Industries Ltd,Metals & Mining,Equity,0.9%
55,Wonderla Holidays Ltd.,Services,Equity,0.9%
56,Indusind Bank Ltd.,Financial,Equity,0.9%
57,Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.9%
58,Prestige Estates Projects Ltd.,Construction,Equity,0.9%
59,Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.9%
60,Coal India Ltd.,Energy,Equity,0.9%
61,Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
62,Redington Ltd.,Services,Equity,0.9%
63,Page Industries Ltd.,Textiles,Equity,0.9%
64,The Karnataka Bank Ltd.,Financial,Equity,0.9%
65,Max Financial Services Ltd.,Financial,Equity,0.8%
66,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.8%
67,Bajaj Finance Ltd.,Financial,Equity,0.8%
68,L&T Technology Services Ltd.,Technology,Equity,0.8%
69,Blue Dart Express Ltd.,Services,Equity,0.8%
70,Grasim Industries Ltd.,Construction,Equity,0.8%
71,ABB India Ltd.,Capital Goods,Equity,0.8%
72,PNC Infratech Ltd.,Construction,Equity,0.8%
73,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.8%
74,Taj GVK Hotels & Resorts Ltd.,Services,Equity,0.7%
75,MTAR Technologies Ltd.,Capital Goods,Equity,0.7%
76,SBI Life Insurance Company Ltd.,Insurance,Equity,0.7%
77,UTI Asset Management Company Ltd.,Financial,Equity,0.7%
78,Sapphire Foods India Ltd.,Services,Equity,0.6%
79,TTK Prestige Ltd.,Consumer Discretionary,Equity,0.6%
80,Astec Lifesciences Ltd.,Chemicals,Equity,0.6%
