,Name,Sector,Instrument,Assets
0,Jindal Stainless Ltd.,Metals & Mining,Equity,3.0%
1,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2.7%
2,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.2%
3,Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.8%
4,NCC Ltd.,Construction,Equity,1.8%
5,Karur Vysya Bank Ltd.,Financial,Equity,1.7%
6,Bharat Dynamics Ltd.,Capital Goods,Equity,1.6%
7,Bank Of Baroda,Financial,Equity,1.6%
8,ITC Ltd.,Consumer Staples,Equity,1.5%
9,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
10,KPIT Technologies Ltd.,Technology,Equity,1.4%
11,Carborundum Universal Ltd.,Metals & Mining,Equity,1.4%
12,Infosys Ltd.,Technology,Equity,1.4%
13,Timken India Ltd.,Capital Goods,Equity,1.4%
14,HDFC Bank Ltd.,Financial,Equity,1.4%
15,Home First Finance Company India Ltd.,Financial,Equity,1.3%
16,Redington Ltd.,Services,Equity,1.3%
17,PI Industries Ltd.,Chemicals,Equity,1.3%
18,The Federal Bank Ltd.,Financial,Equity,1.2%
19,Blue Star Ltd.,Consumer Discretionary,Equity,1.2%
20,Patanjali Foods Ltd.,Consumer Staples,Equity,1.2%
21,Indusind Bank Ltd.,Financial,Equity,1.2%
22,CreditAccess Grameen Ltd.,Financial,Equity,1.2%
23,Maruti Suzuki India Ltd.,Automobile,Equity,1.2%
24,Persistent Systems Ltd.,Technology,Equity,1.2%
25,Blue Dart Express Ltd.,Services,Equity,1.2%
26,DCB Bank Ltd.,Financial,Equity,1.2%
27,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.2%
28,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,Equity,1.2%
29,Cyient Ltd.,Technology,Equity,1.1%
30,IDFC Ltd.,Financial,Equity,1.1%
31,The Karnataka Bank Ltd.,Financial,Equity,1.1%
32,KSB Ltd.,Capital Goods,Equity,1.1%
33,MTAR Technologies Ltd.,Capital Goods,Equity,1.1%
34,Global Health Ltd.,Healthcare,Equity,1.1%
35,Birla Corporation Ltd.,Construction,Equity,1.1%
36,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
37,Computer Age Management Services Ltd.,Services,Equity,1.1%
38,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.1%
39,Praj Industries Ltd.,Capital Goods,Equity,1.1%
40,NLC India Ltd.,Energy,Equity,1.1%
41,Brigade Enterprises Ltd.,Construction,Equity,1.1%
42,La Opala RG Ltd.,Construction,Equity,1.0%
43,Ami Organics Ltd.,Healthcare,Equity,1.0%
44,Taj GVK Hotels & Resorts Ltd.,Services,Equity,1.0%
45,KNR Constructions Ltd.,Construction,Equity,1.0%
46,Apollo Tyres Ltd.,Automobile,Equity,1.0%
47,PNC Infratech Ltd.,Construction,Equity,1.0%
48,Route Mobile Ltd.,Technology,Equity,1.0%
49,JK Lakshmi Cement Ltd.,Construction,Equity,1.0%
50,Radico Khaitan Ltd.,Consumer Staples,Equity,1.0%
51,RBL Bank Ltd.,Financial,Equity,1.0%
52,Aster DM Healthcare Ltd.,Healthcare,Equity,1.0%
53,Zee Entertainment Enterprises Ltd.,Services,Equity,1.0%
54,Automotive Axles Ltd.,Automobile,Equity,1.0%
55,Central Depository Services (India) Ltd.,Financial,Equity,1.0%
56,HCL Technologies Ltd.,Technology,Equity,1.0%
57,Coal India Ltd.,Energy,Equity,1.0%
58,Wonderla Holidays Ltd.,Services,Equity,1.0%
59,VRL Logistics Ltd.,Services,Equity,1.0%
60,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.0%
61,Sundram Fasteners Ltd.,Capital Goods,Equity,1.0%
62,UTI Asset Management Company Ltd.,Financial,Equity,1.0%
63,Exide Industries Ltd.,Capital Goods,Equity,0.9%
64,Mayur Uniquoters Ltd.,Textiles,Equity,0.9%
65,Suprajit Engineering Ltd.,Automobile,Equity,0.9%
66,Delta Corp Ltd.,Services,Equity,0.9%
67,Tata Coffee Ltd.,Consumer Staples,Equity,0.9%
68,K.P.R. Mill Ltd.,Textiles,Equity,0.9%
69,JTL Industries Ltd,Metals & Mining,Equity,0.9%
70,Kajaria Ceramics Ltd.,Construction,Equity,0.9%
71,Syrma SGS Technology Ltd.,Capital Goods,Equity,0.9%
72,Sapphire Foods India Ltd.,Services,Equity,0.8%
73,Gokaldas Exports Ltd.,Textiles,Equity,0.8%
74,Equitas Small Finance Bank Ltd.,Financial,Equity,0.8%
75,PCBL Ltd.,Chemicals,Equity,0.8%
76,Astec Lifesciences Ltd.,Chemicals,Equity,0.8%
77,Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.8%
78,Suven Pharmaceuticals Ltd.,Healthcare,Equity,0.7%
79,Raymond Ltd.,Textiles,Equity,0.7%
80,Laxmi Organic Industries Ltd.,Chemicals,Equity,0.7%
81,ITI Banking & PSU Debt Fund Direct - Growth,Financial,Mutual Fund,0.7%
82,TTK Prestige Ltd.,Consumer Discretionary,Equity,0.6%
83,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
84,Punjab Chemicals & Crop Protection Ltd.,Chemicals,Equity,0.5%
85,ITI Dynamic Bond Fund Direct - Growth,Financial,Mutual Fund,0.4%
